"posterior","tree"
1,"I(RadiusJpt)"
1,"I(PlanetaryDensJpt)"
0.558293574121354,"I(PeriodDays)"
0.527718077232134,"I(exp(m(3.016e-05,1) +m(7.699e-05,I(RadiusJpt))+m(-1.537e-05,I(PlanetaryDensJpt))))"
0.527718077232134,"I(exp(m(0.00040606,1) +m(0.0032073,I(PlanetaryDensJpt))+m(-3.068e-05,I(HostStarMetallicity))))"
0.527718049937166,"I(exp(m(3.21e-06,1) +m(3.693e-05,I(RadiusJpt))+m(1.531e-05,I(RadiusJpt))))"
0.472281922485726,"I(exp(I(RadiusJpt)))"
0.472281922241878,"I(exp(m(-8.334e-05,1) +m(-6.146e-05,I(RadiusJpt))+m(8.93e-06,I(PlanetaryDensJpt))))"
0.472281922241878,"I(exp(m(0.00090704,1) +m(0.008889,I(PlanetaryDensJpt))+m(-3.003e-05,I(TypeFlag))))"
0.24530321975239,"I(SemiMajorAxisAU)"
