"posterior","tree"
0.999999999999999,"I(PlanetaryDensJpt)"
0.999999999985338,"I(sigmoid(I(RadiusJpt)))"
0.811891532984328,"I(logi(m(0.00507706,1) +m(0.00730071,I(RadiusJpt))+m(0.00125332,I(PlanetaryDensJpt))))"
0.811891532984328,"I(logi(m(0.00427036,1) +m(0.00168363,I(PlanetaryDensJpt))+m(2.229e-05,I(TypeFlag))))"
0.811555439593515,"I(PeriodDays)"
0.598283086583128,"I(RadiusJpt)"
0.260192340888097,"I(SemiMajorAxisAU)"
0.188085898461862,"I(exp(m(0.00062145,1) +m(0.00046152,I(RadiusJpt))+m(0.00665589,I(PlanetaryDensJpt))))"
0.188085898461862,"I(logi(m(-0.01358161,1) +m(-0.00014611,I(PlanetaryDensJpt))+m(-0.00506736,I(sigmoid(I(RadiusJpt))))))"
0.123572250211623,"I(Eccentricity)"
