"posterior","tree"
1,"I(PlanetaryDensJpt)"
0.957760737363136,"I(RadiusJpt)"
0.894749801003661,"I(exp(m(0.00110858,1) +m(0.00420367,I(PlanetaryDensJpt))+m(0.00165785,I(RadiusJpt))))"
0.894749801003661,"I(exp(m(-9.085e-05,1) +m(6.758e-05,I(RadiusJpt))+m(1.137e-05,I(PlanetaryDensJpt))))"
0.894749801003661,"I(exp(m(9.065e-05,1) +m(-1.734e-05,I(PlanetaryDensJpt))+m(-0.0001582,I(RadiusJpt))))"
0.564856192003389,"I(PeriodDays)"
0.355088291097463,"I(SemiMajorAxisAU)"
0.105249631785123,"I(sigmoid(I(PlanetaryDensJpt)))"
0.10524963172375,"I(sigmoid(I(RadiusJpt)))"
0.105249516754754,"I(logi(m(-0.00169493,1) +m(-0.0009957,I(PlanetaryDensJpt))+m(-0.00854917,I(RadiusJpt))))"
