"posterior","tree"
1,"I(RadiusJpt)"
1,"I(PlanetaryDensJpt)"
0.820722173302058,"I(exp(m(1.138e-05,1) +m(3.925e-05,I(RadiusJpt))+m(1.554e-05,I(PlanetaryDensJpt))))"
0.820722173302058,"I(exp(m(0.00713,1) +m(0.00360283,I(PlanetaryDensJpt))+m(8.228e-05,I(RadiusJpt))))"
0.584038412891302,"I(PeriodDays)"
0.225703119832606,"I(SemiMajorAxisAU)"
0.0908252478866331,"I(sigmoid(I(logi(m(-0.01995712,1) +m(-1.54e-05,I(PlanetaryDensJpt))+m(-0.00288553,I(RadiusJpt))))))"
0.0908252478866331,"I(exp(m(-0.00015368,1) +m(4.606e-05,I(RadiusJpt))+m(8.855e-05,I(RadiusJpt))))"
0.0884314731503006,"I(exp(m(0.00022386,1) +m(0.00576804,I(PlanetaryDensJpt))+m(0,I(exp(I(SemiMajorAxisAU))))))"
0.0884314731503006,"I(exp(m(0.00194447,1) +m(0.00214679,I(RadiusJpt))+m(0.00121268,I(PlanetaryDensJpt))))"
