"posterior","tree"
1,"I(PlanetaryDensJpt)"
0.618639935448754,"I(RadiusJpt)"
0.589724706277956,"I(exp(m(0.00024867,1) +m(0.00018974,I(RadiusJpt))+m(0.00308519,I(PlanetaryDensJpt))))"
0.589724706277956,"I(exp(m(0.00094601,1) +m(0.00264008,I(RadiusJpt))+m(0.00375061,I(PlanetaryDensJpt))))"
0.409654850753831,"I(exp(m(8.006e-05,1) +m(0.00024034,I(RadiusJpt))+m(0.00607054,I(PlanetaryDensJpt))))"
0.409654850753831,"I(exp(m(0.00421764,1) +m(9.04e-06,I(PlanetaryDensJpt))+m(0.0036647,I(exp(I(RadiusJpt))))))"
0.409654850753831,"I(exp(m(0.00042165,1) +m(0.0024931,I(PlanetaryDensJpt))+m(0.007383,I(exp(I(RadiusJpt))))))"
0.409654850651485,"I(exp(I(RadiusJpt)))"
0.237092646127915,"I(PeriodDays)"
0.158533692033204,"I(SemiMajorAxisAU)"
