"posterior","tree"
1,"I(RadiusJpt)"
0.881582705297143,"I(PlanetaryDensJpt)"
0.87370642395971,"I(TypeFlag)"
0.873705683097282,"I(sigmoid(I(RadiusJpt)))"
0.873705683097176,"I(sigmoid(m(0.00010808,1) +m(9.624e-05,I(RadiusJpt))+m(1.342e-05,I(PlanetaryDensJpt))))"
0.87370568289223,"I(sigmoid(m(4.03e-06,1) +m(5.003e-05,I(TypeFlag))+m(0.01309727,I(PlanetaryDensJpt))))"
0.866375436691051,"I(sigmoid(I(PlanetaryDensJpt)))"
0.248085735280477,"I(PeriodDays)"
0.126156752683777,"I(exp(I(RadiusJpt)))"
0.126156752683671,"I(logi(m(0.00011134,1) +m(0.00559273,I(RadiusJpt))+m(0.0007245,I(PlanetaryDensJpt))))"
0.126156726257018,"I(logi(m(-0.01490057,1) +m(-0.00190631,I(RadiusJpt))+m(-0.00162766,I(PlanetaryDensJpt))))"
0.0737136507116862,"I(SemiMajorAxisAU)"
