"posterior","tree"
0.999999999987563,"I(((V2))&((V9)))"
0.559310238920734,"I(((((V7))&((V20))))&((V12)))"
0.441891599725881,"I(V20)"
0.440689759402642,"I(((V10))&((((V17))&((((V30))&((V4)))))))"
0.396943377994925,"I(V30)"
0.359513084553909,"I(((V12))&((V7)))"
0.315119932747223,"I(((V17))&((((V4))&((V10)))))"
0.191057356429932,"I(V17)"
0.163658438055516,"I(((((V10))&((V4))))&((V30)))"
0.0831365468675011,"I(V12)"
0.0831363486872325,"I(V7)"
0.0824877669458453,"I(V10)"
0.0548715774233393,"I(((V17))&((V4)))"
