"V1","V2"
"3","I(V4)"
"1","I(((V7))|((((((V10))&((((V4))&((V17)))))))))"
"16","I(V30)"
"1","I(((V4))&((V30)))"
"9","I(V20)"
"6","I(V17)"
"1","I(((V4))&((V17)))"
"4","I(((V7))&((V20)))"
"1","I(((((V9))&((V7)))))"
"2","I(((V17))&((V30)))"
"1","I(((V4))&((((V17))&((V30)))))"
"5","I(V12)"
"4","I(V10)"
"1","I(((V17))&((((V10)))))"
"3","I(((V10))&((V4)))"
"6","I(((V4))&((((V10))&((V17)))))"
"1","I(((V10))&((V30)))"
"9","I(((V7))&((V12)))"
"99","I(((V2))&((V9)))"
"1","I(((((V2))&((V9))))&((V7)))"
"1","I(((V12))&((((V2))&((V9)))))"
"1","I(((((V20))))&((V12)))"
"2","I(((((((V2))&((V12))))&((V20)))))"
"74","I(((((V20))&((V12))))&((V7)))"
"1","I(((((((V12))&((V20))))&((V9)))))"
"1","I(((((V20))&((V7))))&((((V12))&((((V9)))))))"
"63","I(((V10))&((((V17))&((((V4))&((V30)))))))"
