"posterior","tree"
0.999999999999814,"I(((V2))&((V9)))"
0.560160909726792,"I(((V12))&((((V20))&((V7)))))"
0.469387048063573,"I(V30)"
0.441075575275037,"I(V12)"
0.439836984961307,"I(((V30))&((((V4))&((((((V17))&((V10)))))))))"
0.360839429483401,"I(((V7))&((V20)))"
0.328232876772543,"I(((((V17))&((V4))))&((V10)))"
0.196756894316749,"I(V10)"
0.132357551161864,"I(V17)"
0.0809974545873072,"I(V20)"
0.0809964202552876,"I(V7)"
0.0734487430624788,"I(((V17))&((V4)))"
0.0639253669775875,"I(((V30))&((V4)))"
0.0600272527450392,"I(V4)"
