"posterior","tree"
0.999999999556272,"I(((V2))&((V9)))"
0.614953321316335,"I(((V12))&((((V20))&((V7)))))"
0.396913463810204,"I(V30)"
0.386383539917684,"I(V20)"
0.385046677218498,"I(((((V4))&((V10))))&((((V17))&((V30)))))"
0.316663410741189,"I(((V7))&((V12)))"
0.286859320578496,"I(((V10))&((((V17))&((V4)))))"
0.219339905357145,"I(((V30))&((V10)))"
0.201767425483547,"I(((V17))&((V4)))"
0.128189968474832,"I(V17)"
0.0772320864776195,"I(V4)"
0.0703876510938372,"I(V12)"
0.0703872347157566,"I(V7)"
0.0599068495390528,"I(V10)"
0.0510855442576948,"I(((V10))&((V4)))"
