"posterior","tree"
0.999999999999998,"I(((V2))&((V9)))"
0.526755094950365,"I(((V20))&((V7)))"
0.526458962263835,"I(((V12))&((((V2))&((V9)))))"
0.416142468012226,"I(((V4))&((V30)))"
0.416142351408497,"I(((V10))&((V17)))"
0.268223765225131,"I(V12)"
0.25826171469529,"I(V20)"
0.257921436208051,"I(V7)"
0.256129078454097,"I(((((V10))&((((V4))&((V17))))))&((V30)))"
0.219193195354342,"I(V10)"
0.218343649148581,"I(V4)"
0.218341398920914,"I(V30)"
0.218337553138469,"I(V17)"
0.216521065495754,"I(((V20))&((((V7))&((V12)))))"
0.110316608719572,"I(((V30))&((V10)))"
0.110316606337986,"I(((V4))&((V17)))"
