"posterior","tree"
0.920984202235797,"I(((V2))&((V9)))"
0.91612955216851,"I(((((V12))&((V20))))&((V7)))"
0.661074753988404,"I(((((V10))&((((V17))&((V30))))))&((V4)))"
0.131954364884197,"I(V30)"
0.123491320905702,"I(V10)"
0.105928789316643,"I(((((V17))&((V10))))&((V4)))"
0.105194716502359,"I(((((V4))&((V30))))&((V17)))"
0.08568574061832,"I(V20)"
0.0845886013279807,"I(V17)"
0.0808476146169672,"I(V9)"
0.080843781261676,"I(V2)"
0.0611267783284898,"I(V4)"
0.0584182263387888,"I(((V12))&((V7)))"
0.0538110795197644,"I(((((V30))&((V4))))&((V10)))"
