"posterior","tree"
0.999999999999993,"I(((V2))&((V9)))"
0.549532673890591,"I(((((((V10))&((V17))))&((V30))))&((V4)))"
0.450467270108355,"I(((V12))&((((V20))&((V7)))))"
0.385294146994332,"I(V20)"
0.301246325125884,"I(V30)"
0.297513321797511,"I(((V7))&((V12)))"
0.269293360089124,"I(((((V17))&((V10))))&((V4)))"
0.170970713095296,"I(V12)"
0.170255671181461,"I(V7)"
0.167267753988431,"I(V10)"
0.135105834673359,"I(((((V4))&((V17))))&((V30)))"
0.0835192549949554,"I(((V7))&((V20)))"
0.0828136986074541,"I(((V12))&((V20)))"
