"posterior","tree"
1,"I(((V2))&((V9)))"
0.711636758016758,"I(((V12))&((((V20))&((V7)))))"
0.289842496489119,"I(V20)"
0.28862214914431,"I(V10)"
0.288361262430114,"I(((V17))&((((V30))&((((V10))&((V4)))))))"
0.277563382895938,"I(V17)"
0.24296901670467,"I(V30)"
0.23458891305696,"I(((V12))&((V7)))"
0.213481728026383,"I(((V10))&((((V17))&((V4)))))"
0.211047332784467,"I(((((V4))&((V30))))&((V10)))"
0.207934201851694,"I(((((V17))&((V4))))&((V30)))"
0.0557895591582085,"I(V12)"
0.0557892319760184,"I(V7)"
