"","V1","V2","V3","V4","V5"
"1",-610.412072175501,-612.628388330111,-610.395313800758,-612.709833945613,5.58562734629959
"2",-610.773984283957,-612.934619010543,-610.76310567317,-612.964990707622,5.88414103956893
"3",-614.050258199152,-615.212678370567,-614.111042025848,-615.237596212688,8.51537469541654
"4",-609.389322617188,-612.016114157718,-609.432020886594,-612.035746352865,4.77493537357077
"5",-617.752278143299,-621.909312043249,-617.65208738884,-621.943847826413,0.140782161615789
"6",-611.745796178778,-615.433509875243,-611.814807449397,-615.403534262019,0.436791251413524
"7",-607.431908758211,-610.60655998248,-607.402385955695,-610.638473358495,2.26526024984196
"8",-609.174893122484,-611.889677151327,-609.202269396765,-611.873762637038,4.57201655721292
"9",-609.483973644255,-612.025692309427,-609.447594443891,-612.04670565486,4.7885179053992
"10",-608.385458413744,-611.287214958982,-608.383759903614,-611.294059723261,3.79042163491249
"11",-609.957695161005,-612.370834795047,-609.994064002385,-612.430074906029,5.25412271264941
"12",-607.987529196938,-611.443428322873,-608.046168200308,-611.381342901945,1.23814233578742
"13",-610.235412097736,-612.614934456931,-610.261117210192,-612.616433794787,5.47552665462717
"14",-609.827734939034,-612.32346676839,-609.817933218397,-612.306808164913,5.1061328058131
"15",-607.515531056965,-610.659232659298,-607.515742839842,-610.694602448553,2.62890560319647
"16",-615.84550124602,-616.374055049177,-615.825180788284,-616.372475370252,9.86740687163547
"17",-615.206771686183,-615.997875998069,-615.196448654046,-615.958116097489,9.36870216624811
"18",-615.745415752161,-616.314995540961,-615.731128003297,-616.310626716926,9.79255658574402
"19",-610.04942730116,-612.488316339276,-610.027326114483,-612.453320533483,5.28188357595354
"20",-615.440888822986,-616.081432767525,-615.425829232476,-616.109534286677,9.55020559486002
"21",-609.061250768153,-611.684651785628,-609.046566423445,-611.76375212952,4.43139146780595
"22",-613.105556283911,-614.585385348376,-613.10992875428,-614.56658546365,7.73338983068243
"23",-608.19697767959,-611.15698516382,-608.227100651737,-611.183077892774,3.62345505738631
"24",-607.897412500719,-611.3128098391,-607.929193301097,-611.258709493683,1.3062673388049
"25",-611.19142190491,-613.241939162334,-611.247437454876,-613.299162603023,6.27165565500036
"26",-608.485313731554,-611.821086043223,-608.519255927662,-611.875966167874,1.03016707114875
"27",-609.684245317213,-612.19159306327,-609.676624497562,-612.207703675967,4.98606501147151
"28",-608.491356203399,-611.28484442374,-608.48572626848,-611.366361606031,3.89501653378829
"29",-607.411477092818,-610.658320915895,-607.391426176318,-610.649204922376,2.09765668492764
"30",-610.669034165876,-612.780019722726,-610.633602926106,-612.875284053769,5.77951672952622
"31",-607.514220081365,-610.632644200697,-607.519106313366,-610.696661751976,2.63628739863634
"32",-607.708678362278,-611.001155528827,-607.683969660407,-610.999124532947,1.49181541055441
"33",-615.987599169515,-620.08620159161,-615.985895898813,-620.052167180458,0.19098665099591
"34",-613.92109410144,-615.1058041998,-613.936115936225,-615.120816343571,8.37851237505674
"35",-607.36969464457,-610.643471394477,-607.392264226219,-610.64147454932,2.16657051816583
"36",-607.954141589332,-611.041453708454,-608.015048611742,-611.033445313527,3.38120139203966
"37",-609.753655205875,-613.221283046573,-609.737897274023,-613.161081643575,0.714783095754683
"38",-612.9118993435,-614.424196258361,-612.897627907238,-614.42342513692,7.56772074149922
"39",-607.675987292674,-610.767436323351,-607.664761738068,-610.791135119507,2.90445242542773
"40",-612.217957713616,-614.015659798125,-612.289775614849,-614.011734379194,7.0927761727944
"41",-607.555994704221,-610.823882037158,-607.571757002157,-610.877397826964,1.61303950008005
"42",-611.538515411571,-613.460685857591,-611.537481612429,-613.498332470977,6.501510348171
"43",-613.240720945973,-614.68346972575,-613.258621541529,-614.666666433046,7.84941385034472
"44",-615.699900666833,-616.298134061237,-615.704307717386,-616.292983933032,9.77123542921618
"45",-608.510399103489,-611.358995092349,-608.521708421387,-611.391882298571,3.93127262359485
"46",-608.809183058144,-612.054625703694,-608.750342967378,-612.118022283725,0.952930920757353
"47",-615.235572257421,-615.94454136745,-615.231876440394,-615.981526800573,9.39670516178012
"48",-608.979577000835,-611.790325661914,-609.000793162935,-611.731371710102,4.389496401418
"49",-607.672941081573,-610.947306232775,-607.679466187665,-610.994295553139,1.49604918202385
"50",-607.859710400729,-611.174555823676,-607.939088665904,-611.269095629847,1.30012391833588
"51",-611.909018931014,-613.825613855323,-611.981148960571,-613.801656823185,6.85086979996413
"52",-607.453524597834,-610.625323567625,-607.499405582266,-610.684743303053,2.59178848937154
"53",-608.11772093837,-611.436082117301,-608.09306313018,-611.430416862375,1.21326396241784
"54",-610.973969149872,-613.130005468476,-610.969311082192,-613.10751111631,6.04978513438255
"55",-610.175846163501,-612.487125272291,-610.162231494905,-612.547500319875,5.39392310660332
"56",-615.676457947936,-616.260366609908,-615.690919696082,-616.284171345729,9.76058884523809
"57",-613.195183584244,-614.626044180468,-613.222878103299,-614.642623023086,7.82151979394257
"58",-613.304125305302,-617.068922492262,-613.384257232567,-617.13430867404,0.315071258228272
"59",-607.341346755487,-610.597936460505,-607.402184491115,-610.638456494058,2.26394459139556
"60",-613.43388336636,-614.766815978723,-613.4762127882,-614.812856202761,8.01922861952335
"61",-615.138670851365,-615.866935780295,-615.116406631911,-615.905221654177,9.30547315860167
"62",-615.234897609527,-616.044195805976,-615.292666086736,-616.021669325975,9.44477890385315
"63",-610.131402370207,-612.492222797696,-610.112327261671,-612.512684464355,5.35257850075141
"64",-607.364368914544,-610.644382404814,-607.394893277124,-610.659357968338,2.04098875401542
