"","V1","V2","V3","V4","V5"
"1",-613.055077329725,-616.776695329443,-613.063327237604,-616.778287399673,0.336168128298596
"2",-610.290076431392,-613.724174306417,-610.324174167865,-613.787667673516,0.615419215522707
"3",-614.809342587586,-618.755555043799,-614.823457439044,-618.742132864279,0.237762701231986
"4",-608.845816369153,-612.153479849549,-608.899920658632,-612.275047153738,0.908569783205166
"5",-609.214410391633,-612.534208791693,-609.148273586994,-612.536491958523,0.842642858624458
"6",-609.599665704834,-612.991837754151,-609.559743724401,-612.971771900236,0.749902687501162
"7",-617.205095297335,-621.561840206819,-617.253576873012,-621.490106394773,0.151315648807213
"8",-610.886719783188,-614.37387510013,-610.881843263001,-614.388556152548,0.538557269144803
"9",-615.991309931139,-619.94812227984,-615.885593686326,-619.938779028398,0.194585769670084
"10",-608.994555778415,-612.421021408959,-608.999110188255,-612.379356468016,0.881178558105603
"11",-610.128785641914,-613.629183197604,-610.191225254033,-613.64509787809,0.636056356364861
"12",-609.451313919076,-612.890332619291,-609.515961854693,-612.925329711092,0.758955240016803
"13",-610.339826147419,-613.769916300599,-610.403518632167,-613.87287958159,0.603565457509831
"14",-609.671922464385,-613.074100965646,-609.707145113147,-613.128374776215,0.72065697866492
"15",-617.740304631222,-622.118518684655,-617.76396993969,-622.071362953167,0.137969812378287
"16",-612.333597648252,-616.134798387383,-612.353241459725,-615.994278134525,0.389322898117825
"17",-609.12890421835,-612.559613106204,-609.156287822158,-612.544944600302,0.840656280517578
"18",-608.996763681001,-612.332759485838,-608.987752299858,-612.367397344624,0.884240908548236
"19",-609.973949443376,-613.4172776819,-609.97492471047,-613.413750131183,0.671887185424566
"20",-609.308081825731,-612.704920750086,-609.317735760051,-612.715433051802,0.802256614901125
"21",-612.958303724117,-616.594967343099,-612.982119191232,-616.68835402094,0.341775273205712
"22",-608.770651631402,-612.145932569089,-608.758904948812,-612.127005336797,0.9502847220283
"23",-610.567299548269,-614.004746704462,-610.529547165654,-614.008420288641,0.585403537144884
"24",-612.889206018809,-616.576462380953,-612.913665988744,-616.612597960278,0.346590233733878
"25",-612.75629890345,-616.464006813036,-612.842862993441,-616.534295585523,0.351658047409728
"26",-612.408443913402,-615.924704471916,-612.391051930772,-616.035885016487,0.386240873252973
"27",-620.754870077193,-625.526575856964,-620.752979940404,-625.495921106978,0.0812809944618493
"28",-621.847158937585,-626.719089973542,-621.879124462279,-626.793186460192,0.0668408647179604
"29",-614.185251679076,-617.960139434073,-614.225017102421,-618.071491745912,0.266859545372427
"30",-616.004396321618,-620.077225173242,-615.986173510566,-620.052482278781,0.190976656973362
"31",-613.013196735551,-616.635322649067,-612.978339069086,-616.684170634375,0.342038854258135
