"","V1","V2","V3","V4","V5"
"1",-6.22728647294144,-8.24492457365685,-6.23627081648251,-8.2533818578269,4.59669438423589
"2",-7.68865912732584,-10.054944447176,-7.69761239759038,-10.0633620956792,2.99590801820159
"3",-5.1992674413627,-6.97994357004603,-5.20827238151969,-6.98842694511964,6.31331612588838
"4",-5.69490294545505,-7.58896983136884,-5.7038976173395,-7.59744050461204,5.40760022588074
"5",-4.05820795732037,-5.58370064478389,-4.06723528177735,-5.59221660740159,9.1552192857489
"6",-3.85817927249202,-5.33973787572024,-3.86720998902104,-5.34826008445431,9.79565357090905
"7",-12.1693168218423,-15.6871337860802,-12.1781909724042,-15.6953977834826,0.907384278252721
"8",-14.5869524723165,-18.7757194268591,-14.5957848640743,-18.7839014693968,0.500183147378266
"9",-4.16049300196413,-5.70853988191567,-4.16951833753268,-5.71705250432546,8.84678497212008
"10",-8.30274200000949,-10.8196017982127,-8.31168352086571,-10.8280017457307,2.51970930723473
"11",-4.02055529940331,-5.53776063847385,-4.02958310609013,-5.54627755005327,9.2719226423651
"12",-3.96906050680927,-5.47494495332871,-3.97808949009457,-5.48346381898046,9.43436940200627
"13",-3.84056088729857,-5.3182605916445,-3.84959193637166,-5.32678341177448,9.85454662237316
"14",-6.39217189206111,-8.44845570749997,-6.4011521602319,-8.45690810608212,4.37443067086861
"15",-9.10607069710611,-11.8234545007319,-9.11499693623031,-11.8318284999098,2.01960208592936
"16",-6.1314821947575,-8.1267470926866,-6.14046839018176,-8.1352065656785,4.73174709593877
"17",-5.5676422822191,-7.43244346581528,-5.57663965483957,-7.44091742158123,5.625005280599
"18",-5.63153804369385,-7.51102000738454,-5.64053413240697,-7.51949240185297,5.51461837254465
"19",-5.26840277004661,-7.06480079159511,-5.27740628271261,-7.07328235333298,6.17704311851412
"20",-5.15312715241141,-6.92332761025057,-5.16213301151334,-6.93181215985482,6.40619606245309
"21",-12.8154382817866,-16.5092138208143,-12.8243013800115,-16.517454361828,0.771895572543144
"22",-6.64135445367424,-8.75637714847096,-6.6503298766391,-8.76482370945734,4.06137230806053
"23",-7.40957145276305,-9.70821216573804,-7.41853047186495,-9.71663775797608,3.24515404878184
"24",-4.91784970685412,-6.63484295869455,-4.92686032576106,-6.64333374468573,6.90510799409822
"25",-7.00969643380467,-9.21228478308838,-7.01866361056186,-9.22072107722311,3.64411883754656
"26",-6.92563320620769,-9.10815997257227,-6.93460273143728,-9.11659922405236,3.73488345649093
"27",-5.33859700019801,-7.15098901990624,-5.34759915626504,-7.15946887849655,6.04214430553839
"28",-4.94341953146929,-6.66617838185341,-4.95242960973883,-6.67466845114254,6.84876094339415
"29",-4.56718906858646,-6.20552486639112,-4.57620660589633,-6.21402533496357,7.73481986718252
"30",-11.6809297527901,-15.0673821748348,-11.6898124170943,-15.0756645511523,1.02682506199926
"31",-12.5029753823985,-16.1113499980571,-12.5118442039495,-16.1196022580814,0.834471248090267
"32",-3.92616393181928,-5.42262924905539,-3.93519371005291,-5.43114954665628,9.57224948564544
"33",-3.98872474205811,-5.49893049883332,-3.99775312905963,-5.50744843725104,9.37194464495406
"34",-8.14414367596747,-10.6218878954573,-8.15308808929603,-10.630292418551,2.63400118099526
"35",-6.18449165043772,-8.19212847472913,-6.19347695230196,-8.20058689766781,4.65646944241598
"36",-5.62705935295472,-7.5055114250506,-5.63605539861672,-7.51398376417025,5.5222741374746
"37",-5.34273941391274,-7.15607628446964,-5.35174144696093,-7.16455599182613,6.03429023409262
"38",-9.69530287270863,-12.562281733767,-9.70421777070954,-12.5706346171232,1.72290364047512
"39",-9.16314653930013,-11.8949284122212,-9.17207156126517,-11.903300281371,1.98851798195392
