"","min(prec)","median(prec)","max(prec)","min(fnr)","median(fnr)","max(fnr)","min(fpr)","median(fpr)","max(fpr)","min(ltime)","median(ltime)","max(ltime)","min(ptime)","median(ptime)","max(ptime)"
"GMJMCMC(AIC)",0.9588,0.9705,0.9769,0.0157,0.0254,0.0419,0.01,0.033,0.0511,70.572,129.356,207.928,0.709,1.454,2.596
"MJMCMC(AIC)",0.9566,0.9701,0.9777,0.0149,0.0246,0.0404,0.0141,0.0334,0.0504,14.872,27.817,40.287,0.19,0.212,0.949
"tXGBOOST(AUC)",0.9613,0.9737,0.9832,0.0125,0.0246,0.0412,0.0166,0.0254,0.0541,6.028,6.967,51.773,0.051,0.0645,0.268
"lXGBOOST(AUC)",0.9634,0.9707,0.9764,0.0157,0.0238,0.0388,0.0149,0.0322,0.0442,3.712,4.285,26.979,0,0,0.062
"LASSO",0.9592,0.9697,0.9764,0.0157,0.0246,0.0412,0.0141,0.0334,0.0511,0.026,0.0565,0.116,0.006,0.007,0.01
"RIDGE",0.9499,0.9625,0.9701,0.0141,0.0222,0.0318,0.0318,0.0488,0.0748,0.031,0.033,0.037,0.008,0.009,0.01
"RFOREST",0.9596,0.9697,0.9773,0.0059,0.0262,0.0549,0.0108,0.031,0.0697,1.224,1.2635,1.322,0.427,0.937,1.41
"DEEPNETS",0.9087,0.9701,0.9806,0.0092,0.031,0.1422,0.01,0.0274,0.1,5.353,6.3825,7.442,1.416,1.8905,2.38
"NAIVEBAYESS",0.9642,0.9718,0.9781,0.0174,0.0298,0.0442,0.0108,0.0238,0.0496,1.191,1.2195,1.263,0.414,0.8765,1.339
"LR",0.8603,0.8946,0.9259,0.0246,0.0511,0.1047,0.0682,0.1328,0.1924,0.171,0.191,0.231,0.558,1.252,2.081
"KMEANS",0.9087,0.9701,0.9806,0.0092,0.031,0.1422,0.01,0.0274,0.1,0.109,0.1275,0.188,1.432,1.942,2.398
