"","V1","V2"
"I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","4"
"I(I(PeriodDays)*I(PlanetaryMassJpt))","I(I(PeriodDays)*I(PlanetaryMassJpt))","2"
"I(I(PeriodDays)*I(RadiusJpt))","I(I(PeriodDays)*I(RadiusJpt))","1"
"I(I(PlanetaryMassJpt)*I(PeriodDays))","I(I(PlanetaryMassJpt)*I(PeriodDays))","2"
"I(I(troot(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(troot(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))*I(troot(I(PeriodDays))))","I(I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))*I(troot(I(PeriodDays))))","1"
"I(I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad))))*I(troot(I(PeriodDays))))","I(I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad))))*I(troot(I(PeriodDays))))","1"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarMassSlrMass))))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarMassSlrMass))))","1"
"I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","1"
"I(troot(I(I(HostStarMassSlrMass)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarMassSlrMass)*I(I(PeriodDays)*I(PeriodDays)))))","27"
"I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","28"
"I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","22"
"I(troot(I(I(I(HostStarRadiusSlrRad)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarRadiusSlrRad)*I(PeriodDays))*I(PeriodDays))))","17"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","1"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))))","1"
"I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","10"
"I(troot(I(I(I(PeriodDays)*I(HostStarRadiusSlrRad))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarRadiusSlrRad))*I(PeriodDays))))","9"
"I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(I(PeriodDays)*I(HostStarTempK)))))","I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(I(PeriodDays)*I(HostStarTempK)))))","3"
"I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(PeriodDays))))","1"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarMassSlrMass))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarMassSlrMass))))","11"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","7"
"I(troot(I(I(PeriodDays)*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","4"
"I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","12"
"I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","1"
"I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarMassSlrMass)))))","I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarMassSlrMass)))))","4"
"I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","3"
"I(troot(I(I(PeriodDays)*I(PeriodDays))))","I(troot(I(I(PeriodDays)*I(PeriodDays))))","4"
