"X","x"
"I(atan(I(atan(I(x35)))))",1.22593712545209e-20
"I(atan(I(atan(I(x49)))))",5.32119799736651e-63
"I(atan(I(gauss(I(x31)))))",0.967122948969039
"I(atan(I(gauss(I(x45)))))",2.96488203804492e-15
"I(atan(I(gauss(I(x48)))))",3.61585448984356e-22
"I(atan(I(gauss(I(x54)))))",1.38803122999797e-10
"I(atan(I(gauss(I(x7)))))",9.84672682776577e-05
"I(atan(I(I(gauss(I(x21)))*I(x24))))",2.0309986843372e-10
"I(atan(I(I(gfquar(I(x57)))*I(x43))))",1.08327168744595e-06
"I(atan(I(I(m(-0.01943442,1))+I(m(2.86738192,I(x7)))+I(m(0.13683611,I(x14))))))",5.89550190568487e-10
"I(atan(I(I(m(-0.07167395,1))+I(m(-3.8363672,I(gmedi(I(x26)))))+I(m(2.70180321,I(I(x21)*I(gmedi(I(x42)))))))))",1.37560264592937e-17
"I(atan(I(I(m(-0.35811981,1))+I(m(-0.35212507,I(x36)))+I(m(2.07019601,I(x52))))))",2.69265900348714e-06
"I(atan(I(I(m(-0.3750359,1))+I(m(-1.45123126,I(x44)))+I(m(2.09085287,I(x52)))+I(m(-0.29326874,I(I(x25)*I(x26)))))))",2.91640729181257e-12
"I(atan(I(I(m(-0.41056171,1))+I(m(-0.3020792,I(x51)))+I(m(1.29733161,I(x54))))))",6.90506334674358e-05
"I(atan(I(I(m(-0.44049855,1))+I(m(0.60455271,I(x9)))+I(m(0.34867182,I(I(x10)*I(gauss(I(x36)))))))))",2.00837573593965e-13
"I(atan(I(I(m(-0.5848326,1))+I(m(0.62123067,I(x19)))+I(m(1.10521222,I(x57)))+I(m(0.21493307,I(gauss(I(I(m(-0.59200217,1))+I(m(0.62934446,I(x6)))+I(m(-1.81976563,I(x44))))))))+I(m(0.03645114,I(x14))))))",9.649311642483e-07
"I(atan(I(I(m(-0.68843938,1))+I(m(0.76462434,I(x15)))+I(m(1.25865628,I(glquar(I(x1))))))))",5.43693590290293e-05
