"X","x"
"I(atan(I(atan(I(x28)))))",1.13507227181134e-12
"I(atan(I(atan(I(x32)))))",2.09963834943369e-11
"I(atan(I(atan(I(x36)))))",1.57056201117e-39
"I(atan(I(atan(I(x5)))))",9.49082255706409e-49
"I(atan(I(atan(I(x55)))))",2.03953461048041e-12
"I(atan(I(gauss(I(gauss(I(x36)))))))",6.33473126574389e-11
"I(atan(I(gauss(I(x17)))))",1.36913651848527e-10
"I(atan(I(gauss(I(x42)))))",1.58094541444937e-15
"I(atan(I(gauss(I(x49)))))",1.47172900204667e-08
"I(atan(I(gauss(I(x53)))))",5.6887764830281e-21
"I(atan(I(gauss(I(x55)))))",2.10054125687989e-08
"I(atan(I(I(I(x11)*I(x1))*I(x41))))",1.96933909384653e-22
"I(atan(I(I(m(-0.0087847,1))+I(m(2.86479715,I(x7)))+I(m(0.01063942,I(x12))))))",1.79993483789774e-11
"I(atan(I(I(m(-0.09356765,1))+I(m(0.00331449,I(I(x36)*I(x33))))+I(m(2.93565847,I(tanh(I(x16))))))))",1.98631494739827e-14
"I(atan(I(I(m(-0.25832735,1))+I(m(1.66762674,I(x24)))+I(m(0.99305143,I(x54)))+I(m(0.71438816,I(x17))))))",2.83760941001707e-07
"I(atan(I(I(m(-0.29846342,1))+I(m(0.73122199,I(x15)))+I(m(1.64086431,I(x24))))))",3.8912964940658e-17
"I(atan(I(I(m(-0.32957777,1))+I(m(2.12820664,I(x52)))+I(m(-0.03639734,I(I(x48)*I(x9)))))))",1.79419758298557e-14
"I(atan(I(I(m(-0.34771285,1))+I(m(1.84117713,I(x24)))+I(m(0.24640471,I(I(x16)*I(x52)))))))",4.17562378745338e-06
"I(atan(I(I(m(-0.3505971,1))+I(m(-4.76536873,I(x35)))+I(m(-1.33151583,I(x46)))+I(m(14.96423468,I(x55))))))",5.68246379947911e-12
"I(atan(I(I(m(-0.42967797,1))+I(m(-1.54862052,I(x48)))+I(m(0.16608302,I(I(x12)*I(x6))))+I(m(-2.43033853,I(gfquar(I(I(m(-0.57694652,1))+I(m(0.82482334,I(x15)))+I(m(-1.4864037,I(x46)))))))))))",2.85113334070631e-10
"I(atan(I(I(m(-0.45802076,1))+I(m(-0.00056716,I(I(x16)*I(x33))))+I(m(-0.21947193,I(I(I(sin(I(x36)))*I(x13))*I(glquar(I(x28)))))))))",8.89008613930312e-18
"I(atan(I(I(m(-0.48420036,1))+I(m(-0.29995902,I(tanh(I(x40)))))+I(m(0.45576745,I(I(x44)*I(x14)))))))",3.80601317272912e-20
"I(atan(I(I(m(-0.48774607,1))+I(m(-1.35574043,I(x47)))+I(m(1.07537734,I(x57))))))",3.97309432837313e-19
"I(atan(I(I(m(-0.58818969,1))+I(m(0.86355042,I(x16)))+I(m(-1.43913266,I(x46))))))",6.51092400886699e-05
"I(atan(I(I(m(-0.62207312,1))+I(m(-0.49807106,I(x36)))+I(m(-1.61384245,I(x44))))))",4.17562299060159e-06
"I(atan(I(I(m(-0.74584138,1))+I(m(-2.25182026,I(x48)))+I(m(10.23960618,I(x55)))+I(m(2.4782607,I(gmedi(I(tanh(I(x53))))))))))",2.18559961642804e-10
"I(atan(I(I(m(-0.92034897,1))+I(m(-3.26783156,I(x42)))+I(m(0.00521976,I(I(x21)*I(x41)))))))",2.39861910954437e-56
"I(atan(I(I(m(-1.14044607,1))+I(m(-5.38235829,I(x29)))+I(m(2.01222306,I(x52)))+I(m(-0.05956731,I(I(I(x51)*I(x23))*I(x42)))))))",3.80601335009569e-20
"I(atan(I(I(m(-1.84757752,1))+I(m(4.31756523,I(x4)))+I(m(-6.11046376,I(x25))))))",9.4758095283066e-49
"I(atan(I(I(m(-1.97910201,1))+I(m(0.78645269,I(x8)))+I(m(-6.06440532,I(x25))))))",1.35488656962014e-20
"I(atan(I(I(m(-2.03732678,1))+I(m(-6.1971437,I(x25)))+I(m(0.15817661,I(x36))))))",6.24152548857769e-57
"I(atan(I(I(m(-2.10258538,1))+I(m(-6.00593874,I(x25)))+I(m(-1.10615484,I(x48)))+I(m(0.55983064,I(I(x41)*I(x49))))+I(m(-0.30682631,I(I(x20)*I(x46)))))))",2.6214278027825e-14
"I(atan(I(I(m(-2.26141857,1))+I(m(-7.09094807,I(x26)))+I(m(0.31901562,I(x13))))))",8.42235903857318e-08
"I(atan(I(I(m(-2.28014714,1))+I(m(0.67215191,I(x15)))+I(m(-5.46212982,I(x25)))+I(m(3.67126911,I(gmedi(I(x7))))))))",7.46903486485401e-15
"I(atan(I(I(m(-3.20359487,1))+I(m(-10.75601734,I(x26)))+I(m(1.44418922,I(x57))))))",4.1756235418291e-06
"I(atan(I(I(m(-3.81924416,1))+I(m(0.14962149,I(x36)))+I(m(-1.36015353,I(x44)))+I(m(3.7805973,I(gauss(I(I(m(-2.08471403,1))+I(m(-6.06869901,I(x25)))+I(m(0.14883747,I(x36)))+I(m(-1.10377389,I(x48)))))))))))",3.77637715743841e-38
"I(atan(I(I(m(-62.68361395,1))+I(m(63.94317497,I(gauss(I(x31)))))+I(m(0.24571026,I(I(x12)*I(x53)))))))",2.74414365046202e-25
"I(atan(I(I(m(-7.88690833,1))+I(m(-0.42682799,I(x28)))+I(m(11.30910539,I(gauss(I(x42)))))+I(m(0.09554249,I(I(x6)*I(x48))))+I(m(-4.0318001,I(gauss(I(x53))))))))",3.73781748486517e-16
"I(atan(I(I(m(-9.54693738,1))+I(m(-59.2632064,I(x31)))+I(m(1.07535622,I(x57)))+I(m(2.5348444,I(sin(I(x2))))))))",9.63397840459054e-13
"I(atan(I(I(m(0.03208178,1))+I(m(4.44732242,I(x20)))+I(m(-0.63570694,I(I(gauss(I(x52)))*I(x45)))))))",2.75291551428314e-20
"I(atan(I(I(m(0.09354828,1))+I(m(0.58825089,I(x15)))+I(m(2.54175011,I(x20)))+I(m(2.26018258,I(x53))))))",1.47266147931378e-08
"I(atan(I(I(m(0.14059484,1))+I(m(2.29946228,I(x7)))+I(m(2.44537483,I(x53))))))",1.79419541476803e-14
"I(atan(I(I(m(1.08891315,1))+I(m(1.48416302,I(x54)))+I(m(-2.23136655,I(sin(I(gauss(I(x5))))))))))",4.63256818409508e-09
"I(atan(I(I(m(4.02113517,1))+I(m(-7.01879058,I(x26)))+I(m(-6.83405433,I(gauss(I(x26))))))))",1.41231111628986e-12
"I(atan(I(I(x1)*I(x25))))",1.20997667847615e-17
"I(atan(I(I(x15)*I(gauss(I(x54))))))",1.72194925028069e-15
"I(atan(I(I(x3)*I(x42))))",2.99101514592475e-19
"I(atan(I(I(x35)*I(x35))))",3.80601318523182e-20
"I(atan(I(I(x40)*I(x6))))",7.26325750068282e-15
"I(atan(I(I(x49)*I(x49))))",7.9724091804213e-11
"I(atan(I(I(x52)*I(x56))))",3.75575211688006e-39
"I(atan(I(I(x53)*I(x38))))",8.20055725022226e-21
"I(atan(I(I(x53)*I(x57))))",7.90036707528761e-06
"I(atan(I(I(x55)*I(x44))))",1.51745218911806e-19
"I(atan(I(I(x6)*I(x32))))",4.42587779273742e-27
"I(atan(I(I(x7)*I(x36))))",1.36935750975584e-10
"I(atan(I(I(x7)*I(x55))))",7.28298325165354e-15
"I(atan(I(sin(I(x41)))))",3.89121798998475e-17
"I(atan(I(tanh(I(x49)))))",1.15423210112748e-12
"I(atan(I(x1)))",2.30628285266367e-05
"I(atan(I(x14)))",0.985023363938934
"I(atan(I(x15)))",2.81675823868302e-09
"I(atan(I(x18)))",1.67933138880985e-23
"I(atan(I(x19)))",0.000967346693273608
"I(atan(I(x2)))",3.29283006683548e-13
"I(atan(I(x20)))",4.31982790638074e-09
"I(atan(I(x21)))",2.09209401216332e-10
"I(atan(I(x24)))",2.39861911342774e-56
"I(atan(I(x25)))",1.15998624914822e-13
"I(atan(I(x27)))",0.000716540358138509
"I(atan(I(x28)))",1.00882773586474e-09
"I(atan(I(x29)))",2.96224256443118e-13
"I(atan(I(x3)))",1.48534928289046e-11
"I(atan(I(x31)))",3.74893878709414e-08
"I(atan(I(x32)))",4.21631607521653e-09
"I(atan(I(x33)))",1.08732475087776e-18
"I(atan(I(x35)))",2.81417539450771e-09
"I(atan(I(x36)))",6.20387690513983e-05
"I(atan(I(x37)))",2.59046977610946e-35
"I(atan(I(x38)))",1.46419869225874e-27
"I(atan(I(x39)))",1.73236861467739e-19
"I(atan(I(x40)))",3.5706406889329e-16
"I(atan(I(x41)))",3.56360481031785e-12
"I(atan(I(x42)))",0.000711896355287659
"I(atan(I(x43)))",4.3694560821641e-09
"I(atan(I(x44)))",1.20070651319934e-16
"I(atan(I(x46)))",1.02324240267993e-15
"I(atan(I(x47)))",8.75381239208733e-32
"I(atan(I(x48)))",2.56910026197817e-15
"I(atan(I(x50)))",2.43205320490095e-18
"I(atan(I(x52)))",0.999217082327802
"I(atan(I(x53)))",0.000593747410405113
"I(atan(I(x54)))",2.09590694082916e-19
"I(atan(I(x55)))",2.57675019309117e-09
"I(atan(I(x56)))",1.37194652061053e-08
"I(atan(I(x6)))",1.31913366950942e-37
