neo,desn,absolute_magnitude,magnitude_slope,epoch,mean_anomaly,argument_of_perihelion,longitude_of_the_ascending node,inclination,eccentricity,mean_motion,semi_major_axis,ref1,ref2,observations,oppostion,time_of_perihelion_passage, rms_residual,Polarization,rotation_period,computer,classification,desn,label,last _observation
0,153,7.48,0.15,K161D,26.88636,38.57501,228.16818,7.82489,0.1395071,0.12425516,3.9773435,0,MPO347511,1499,62,1895-2015,0.55,M-v,38h,MPCLINUX,8,-153,Hilda,20150914
0,190,7.59,0.15,K161D,110.01502,271.58601,175.47409,6.17709,0.1659439,0.12378029,3.9875095,0,MPO365242,1497,56,1894-2016,0.51,M-v,38h,MPCLINUX,8,-190,Ismene,20160218
0,334,7.7,0.15,K161D,84.3317,148.58549,130.18362,4.64144,0.0221686,0.12818856,3.8955598,0,MPO370967,1772,71,1893-2015,0.51,M-v,38h,MPCLINUX,8,-334,Chicago,20151211
0,361,8.22,0.15,K161D,304.2166,68.34312,18.87373,12.62587,0.2141159,0.12503228,3.9608459,0,MPO370967,1236,41,1901-2015,0.46,M-v,38h,MPCLINUX,8,-361,Bononia,20151210
0,499,9.39,0.15,K161D,124.50693,175.02832,256.25984,2.0899,0.2146185,0.1227571,4.0096362,0,MPO365247,1614,45,1902-2016,0.5,M-v,38h,MPCLINUX,8,-499,Venusia,20160214
0,588,8.67,0.15,K161D,138.59704,133.57946,316.56298,10.31518,0.1470425,0.08297706,5.2059184,0,MPO365249,1101,49,1906-2016,0.56,M-v,38h,MPCLINUX,9,-588,Achilles,20160128
0,617,8.19,0.15,K161D,103.73875,308.5018,44.35881,22.04762,0.1387284,0.08269781,5.2176313,0,MPO370970,1056,50,1906-2015,0.52,M-v,38h,MPCLINUX,9,-617,Patroclus,20151218
0,624,7.3,0.15,K161D,72.22806,183.57545,342.79632,18.16691,0.0244471,0.08187343,5.2525968,0,MPO365249,1474,62,1907-2016,0.5,M-v,38h,MPCLINUX,9,-624,Hektor,20160131
0,659,8.99,0.15,K161D,242.20821,341.65502,350.8664,4.52308,0.1165209,0.08357291,5.1811445,0,MPO370971,1522,48,1908-2015,0.5,M-v,38h,MPCLINUX,9,-659,Nestor,20151218
0,748,9.01,0.15,K161D,122.36733,178.09168,265.47711,2.2581,0.1877316,0.1257972,3.9447734,0,MPO365251,1611,48,1920-2016,0.54,M-v,38h,MPCLINUX,8,-748,Simeisa,20160217
0,884,8.81,0.15,K161D,190.60564,335.73646,301.55819,8.91354,0.1214295,0.08354399,5.18234,0,MPO370974,1201,45,1917-2015,0.54,M-v,38h,MPCLINUX,9,-884,Priamus,20151219
0,911,7.89,0.15,K161D,170.17665,81.56435,338.02177,21.76253,0.0660013,0.08138682,5.2735125,0,MPO365253,1120,47,1927-2016,0.54,M-v,38h,MPCLINUX,9,-911,Agamemnon,20160201
0,958,10.71,0.15,K161D,314.50854,92.94483,343.15105,5.63003,0.1864639,0.12378111,3.9874917,0,MPO370974,1396,31,1921-2015,0.51,M-v,38h,MPCLINUX,8,-958,Asplinda,20151210
0,1038,10.82,0.15,K161D,266.33376,305.14015,57.77663,9.18561,0.2200594,0.12416677,3.9792309,0,MPO347522,1211,27,1924-2015,0.48,M-v,38h,MPCLINUX,8,-1038,Tuckia,20150814
0,1143,7.93,0.15,K161D,117.81244,236.94598,221.29218,3.13788,0.0897484,0.08196039,5.2488808,0,MPO365257,1576,50,1930-2016,0.54,M-v,38h,MPCLINUX,9,-1143,Odysseus,20160217
0,1144,9.9,0.15,K161D,49.71221,220.8992,156.73172,9.7428,0.0946976,0.13578429,3.7488928,0,MPO370977,1444,38,1930-2015,0.5,M-v,38h,MPCLINUX,8,-1144,Oda,20151218
0,1162,9.44,0.15,K161D,237.55238,211.4661,39.7733,1.88716,0.1093979,0.12672891,3.925415,0,MPO370977,1795,41,1930-2015,0.51,M-v,38h,MPCLINUX,8,-1162,Larissa,20151217
0,1172,8.33,0.15,K161D,171.64267,51.32323,247.32965,16.66463,0.1035007,0.08269262,5.2178495,0,MPO370977,1264,44,1930-2015,0.49,M-v,38h,MPCLINUX,9,-1172,Aneas,20151207
0,1173,8.89,0.15,K161D,119.29059,40.91051,283.90202,6.91627,0.1368514,0.08077014,5.3003208,0,MPO370977,1225,40,1930-2015,0.57,M-v,38h,MPCLINUX,9,-1173,Anchises,20151220
