"","V1","V2"
"I(I(HostStarMetallicity)*I(PeriodDays))","I(I(HostStarMetallicity)*I(PeriodDays))","12"
"I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","21"
"I(I(PeriodDays)*I(HostStarMetallicity))","I(I(PeriodDays)*I(HostStarMetallicity))","8"
"I(I(PeriodDays)*I(PlanetaryMassJpt))","I(I(PeriodDays)*I(PlanetaryMassJpt))","11"
"I(I(PeriodDays)*I(RadiusJpt))","I(I(PeriodDays)*I(RadiusJpt))","7"
"I(I(PlanetaryMassJpt)*I(PeriodDays))","I(I(PlanetaryMassJpt)*I(PeriodDays))","5"
"I(I(RadiusJpt)*I(PeriodDays))","I(I(RadiusJpt)*I(PeriodDays))","7"
"I(I(sigmoid(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(sigmoid(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(sigmoid(I(HostStarRadiusSlrRad)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(sigmoid(I(HostStarRadiusSlrRad)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(troot(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(troot(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(troot(I(HostStarRadiusSlrRad)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(troot(I(HostStarRadiusSlrRad)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))*I(troot(I(PeriodDays))))","I(I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))*I(troot(I(PeriodDays))))","1"
"I(I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass))))*I(troot(I(PeriodDays))))","I(I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass))))*I(troot(I(PeriodDays))))","3"
"I(I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad))))*I(troot(I(PeriodDays))))","I(I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad))))*I(troot(I(PeriodDays))))","1"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(HostStarTempK))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(HostStarTempK))","7"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarMassSlrMass))))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarMassSlrMass))))","1"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarRadiusSlrRad))))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarRadiusSlrRad))))","1"
"I(I(troot(I(PeriodDays)))*I(troot(I(I(HostStarMassSlrMass)*I(PeriodDays)))))","I(I(troot(I(PeriodDays)))*I(troot(I(I(HostStarMassSlrMass)*I(PeriodDays)))))","3"
"I(I(troot(I(PeriodDays)))*I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","I(I(troot(I(PeriodDays)))*I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","1"
"I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","1"
