"","V1","V2"
"I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(RadiusJpt))","37"
"I(I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","24"
"I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt))*I(RadiusJpt))","5"
"I(I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt)))*I(RadiusJpt))","8"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(to23(I(RadiusJpt))))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(to23(I(RadiusJpt))))","1"
"I(I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))*I(RadiusJpt))","I(I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))*I(RadiusJpt))","1"
"I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","7"
"I(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))*I(RadiusJpt))","8"
"I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(to23(I(RadiusJpt))))","I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(to23(I(RadiusJpt))))","2"
"I(I(PlanetaryDensJpt)*I(I(I(RadiusJpt)*I(RadiusJpt))*I(RadiusJpt)))","I(I(PlanetaryDensJpt)*I(I(I(RadiusJpt)*I(RadiusJpt))*I(RadiusJpt)))","1"
"I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","1"
"I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))","7"
"I(I(PlanetaryDensJpt)*I(to35(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(to35(I(RadiusJpt))))","15"
"I(I(RadiusJpt)*I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt)))","7"
"I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt)))","1"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","1"
"I(I(to23(I(RadiusJpt)))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","I(I(to23(I(RadiusJpt)))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","1"
"I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt))","2"
"I(I(to35(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(to35(I(RadiusJpt)))*I(PlanetaryDensJpt))","10"
"I(sigmoid(I(PeriodDays)))","I(sigmoid(I(PeriodDays)))","1"
