"","x"
"1",5.28805375089175e-27
"2",6.70595143428759e-17
"3",6.25855111718544e-13
"4",0.0580568258282462
"5",3.70556578762181e-24
"6",5.46269119347148e-13
"7",6.24661911794109e-25
"8",4.36386759507457e-30
"9",0.0133012943688859
"10",9.62758574426662e-10
"11",0.000187526889357566
"12",2.78972608744083e-07
"13",4.44653054705129e-06
"14",4.39656121956507e-19
"15",1.4254024738678e-14
"16",2.48937294749224e-06
"17",2.13539400839474e-12
"18",0.999777832674626
"19",8.07027469916627e-07
"20",0.988927298572914
"21",3.25789305822973e-25
"22",2.41085561933459e-26
"23",8.2993915732054e-23
"24",8.78562314490591e-07
"25",0.998293252173715
"26",1.52478104751848e-15
"27",2.8323049597299e-20
"28",0.000344950439280746
"29",2.84435194400656e-13
"30",0.710698803107281
"31",0.00023582140960223
"32",0.20543007367769
"33",0.0312600428485693
"34",3.58422710327762e-09
"35",1.20405832402356e-21
"36",6.1233529718529e-11
"37",1.13227324442279e-14
"38",6.64452874728518e-05
"39",2.02184660882846e-21
"40",3.80426729796102e-21
"41",0.000269433846570715
"42",0.0148867420703224
"43",0.982073199739119
"44",0.999978325815834
"45",2.04334781360434e-09
"46",2.15639445669004e-06
"47",0.00194221505285001
"48",0.000118793642781464
"49",1.31452317835475e-20
"50",0.012303329500531
"51",1.63451566341789e-23
"52",2.68122407624322e-05
"53",3.4156944908919e-11
"54",0.957380364084107
"55",0.0142116290630679
"56",0.00236398411039031
"57",1.78194928303666e-16
"58",0.257106397818591
"59",3.24046620518378e-09
"60",0.00271428456765424
"61",0.999999767171087
"62",3.1373369321778e-26
"63",0.00909773041107072
"64",7.44791684229823e-17
"65",5.48226977800339e-09
"66",4.2227105957123e-06
"67",6.00523716891078e-40
"68",0.0150027471061029
"69",0.999970751011233
"70",0.00386618064384825
"71",0.979032353924977
"72",0.00818807005592893
"73",7.94569770005909e-08
"74",0.0237166038891164
"75",4.07209339070926e-06
"76",1.3929616787774e-27
"77",5.5339411548423e-07
"78",0.00235515127292464
"79",3.01238397887874e-21
"80",1.45220275196011e-07
"81",3.21188059672558e-20
"82",3.35423855936893e-28
"83",3.99880945174849e-16
"84",4.04236184638275e-20
"85",2.97224274953865e-05
"86",0.984890916224245
"87",9.97132988716106e-07
"88",0.999686654693009
"89",1.54655180676163e-14
"90",2.78646821064909e-05
"91",3.26981937062502e-31
"92",1.00669923971421e-21
"93",0.00012887523394837
"94",1.89641320518392e-08
"95",2.02633630593851e-05
"96",1.63316886835336e-11
"97",9.54597269848659e-06
"98",2.78595767495664e-10
"99",3.56895914914789e-17
"100",0.00384685858053359
"101",8.86613164165035e-13
"102",1.32983274366588e-06
"103",3.64471986589987e-05
"104",2.31722701726656e-06
