"","V1","V2"
"I(I(HostStarMetallicity)*I(PeriodDays))","I(I(HostStarMetallicity)*I(PeriodDays))","2"
"I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","9"
"I(I(PeriodDays)*I(PlanetaryMassJpt))","I(I(PeriodDays)*I(PlanetaryMassJpt))","3"
"I(I(PeriodDays)*I(RadiusJpt))","I(I(PeriodDays)*I(RadiusJpt))","5"
"I(I(PeriodDays)*I(to23(I(troot(I(PeriodDays))))))","I(I(PeriodDays)*I(to23(I(troot(I(PeriodDays))))))","1"
"I(I(PlanetaryMassJpt)*I(PeriodDays))","I(I(PlanetaryMassJpt)*I(PeriodDays))","4"
"I(I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass))))*I(troot(I(PeriodDays))))","I(I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass))))*I(troot(I(PeriodDays))))","1"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(troot(I(HostStarRadiusSlrRad))))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(troot(I(HostStarRadiusSlrRad))))","1"
"I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass)))))","I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass)))))","1"
"I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","1"
"I(troot(I(I(HostStarMassSlrMass)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarMassSlrMass)*I(I(PeriodDays)*I(PeriodDays)))))","20"
"I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","26"
"I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","2"
"I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","21"
"I(troot(I(I(I(HostStarRadiusSlrRad)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarRadiusSlrRad)*I(PeriodDays))*I(PeriodDays))))","15"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","3"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))))","1"
"I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","7"
"I(troot(I(I(I(PeriodDays)*I(HostStarRadiusSlrRad))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarRadiusSlrRad))*I(PeriodDays))))","13"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarMassSlrMass))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarMassSlrMass))))","9"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","6"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarTempK))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarTempK))))","2"
"I(troot(I(I(PeriodDays)*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","8"
"I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","7"
"I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","1"
"I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarMassSlrMass)))))","I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarMassSlrMass)))))","6"
"I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","6"
"I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarTempK)))))","I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarTempK)))))","3"
"I(troot(I(I(PeriodDays)*I(PeriodDays))))","I(troot(I(I(PeriodDays)*I(PeriodDays))))","9"
