"","V1","V2"
"I(HostStarMassSlrMass)","I(HostStarMassSlrMass)","1"
"I(HostStarMetallicity)","I(HostStarMetallicity)","1"
"I(HostStarTempK)","I(HostStarTempK)","2"
"I(I(HostStarMassSlrMass)*I(PeriodDays))","I(I(HostStarMassSlrMass)*I(PeriodDays))","1"
"I(I(HostStarMetallicity)*I(PeriodDays))","I(I(HostStarMetallicity)*I(PeriodDays))","1"
"I(I(HostStarRadiusSlrRad)*I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays))))))","I(I(HostStarRadiusSlrRad)*I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays))))))","1"
"I(I(HostStarRadiusSlrRad)*I(to35(I(logi(I(PeriodDays))))))","I(I(HostStarRadiusSlrRad)*I(to35(I(logi(I(PeriodDays))))))","1"
"I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","5"
"I(I(HostStarTempK)*I(troot(I(PeriodDays))))","I(I(HostStarTempK)*I(troot(I(PeriodDays))))","6"
"I(I(I(RadiusJpt)*I(PeriodDays))*I(PeriodDays))","I(I(I(RadiusJpt)*I(PeriodDays))*I(PeriodDays))","1"
"I(I(I(troot(I(PeriodDays)))*I(HostStarTempK))*I(troot(I(PeriodDays))))","I(I(I(troot(I(PeriodDays)))*I(HostStarTempK))*I(troot(I(PeriodDays))))","1"
"I(I(logi(I(PeriodDays)))*I(PeriodDays))","I(I(logi(I(PeriodDays)))*I(PeriodDays))","1"
"I(I(PeriodDays)*I(HostStarMassSlrMass))","I(I(PeriodDays)*I(HostStarMassSlrMass))","2"
"I(I(PeriodDays)*I(HostStarMetallicity))","I(I(PeriodDays)*I(HostStarMetallicity))","3"
"I(I(PeriodDays)*I(HostStarRadiusSlrRad))","I(I(PeriodDays)*I(HostStarRadiusSlrRad))","3"
"I(I(PeriodDays)*I(HostStarTempK))","I(I(PeriodDays)*I(HostStarTempK))","3"
"I(I(PeriodDays)*I(logi(I(PeriodDays))))","I(I(PeriodDays)*I(logi(I(PeriodDays))))","1"
"I(I(PeriodDays)*I(PeriodDays))","I(I(PeriodDays)*I(PeriodDays))","5"
"I(I(PeriodDays)*I(PlanetaryDensJpt))","I(I(PeriodDays)*I(PlanetaryDensJpt))","3"
"I(I(PeriodDays)*I(PlanetaryMassJpt))","I(I(PeriodDays)*I(PlanetaryMassJpt))","2"
"I(I(PeriodDays)*I(RadiusJpt))","I(I(PeriodDays)*I(RadiusJpt))","3"
"I(I(PeriodDays)*I(to23(I(HostStarRadiusSlrRad))))","I(I(PeriodDays)*I(to23(I(HostStarRadiusSlrRad))))","1"
"I(I(PlanetaryDensJpt)*I(PeriodDays))","I(I(PlanetaryDensJpt)*I(PeriodDays))","4"
"I(I(PlanetaryMassJpt)*I(PeriodDays))","I(I(PlanetaryMassJpt)*I(PeriodDays))","4"
"I(I(RadiusJpt)*I(PeriodDays))","I(I(RadiusJpt)*I(PeriodDays))","6"
"I(I(RadiusJpt)*I(troot(I(PeriodDays))))","I(I(RadiusJpt)*I(troot(I(PeriodDays))))","1"
"I(I(to23(I(PeriodDays)))*I(HostStarTempK))","I(I(to23(I(PeriodDays)))*I(HostStarTempK))","1"
"I(I(troot(I(HostStarRadiusSlrRad)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(troot(I(HostStarRadiusSlrRad)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(troot(I(HostStarTempK)))*I(troot(I(to23(I(PeriodDays))))))","I(I(troot(I(HostStarTempK)))*I(troot(I(to23(I(PeriodDays))))))","1"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(HostStarTempK))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(HostStarTempK))","4"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(PlanetaryMassJpt))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(PlanetaryMassJpt))","1"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarRadiusSlrRad))))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarRadiusSlrRad))))","1"
"I(I(troot(I(I(troot(I(PeriodDays)))*I(PeriodDays))))*I(HostStarTempK))","I(I(troot(I(I(troot(I(PeriodDays)))*I(PeriodDays))))*I(HostStarTempK))","1"
"I(I(troot(I(PeriodDays)))*I(HostStarTempK))","I(I(troot(I(PeriodDays)))*I(HostStarTempK))","5"
"I(I(troot(I(PeriodDays)))*I(PeriodDays))","I(I(troot(I(PeriodDays)))*I(PeriodDays))","1"
"I(I(troot(I(PeriodDays)))*I(RadiusJpt))","I(I(troot(I(PeriodDays)))*I(RadiusJpt))","1"
"I(I(troot(I(PeriodDays)))*I(troot(I(I(HostStarMassSlrMass)*I(PeriodDays)))))","I(I(troot(I(PeriodDays)))*I(troot(I(I(HostStarMassSlrMass)*I(PeriodDays)))))","1"
"I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass)))))","I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass)))))","1"
"I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarTempK)))))","I(I(troot(I(PeriodDays)))*I(troot(I(I(PeriodDays)*I(HostStarTempK)))))","1"
"I(I(troot(I(PeriodDays)))*I(troot(I(PeriodDays))))","I(I(troot(I(PeriodDays)))*I(troot(I(PeriodDays))))","2"
"I(logi(I(PeriodDays)))","I(logi(I(PeriodDays)))","2"
"I(logi(I(to23(I(troot(I(troot(I(PeriodDays)))))))))","I(logi(I(to23(I(troot(I(troot(I(PeriodDays)))))))))","1"
"I(PeriodDays)","I(PeriodDays)","57"
"I(RadiusJpt)","I(RadiusJpt)","2"
"I(to23(I(PeriodDays)))","I(to23(I(PeriodDays)))","3"
"I(to23(I(troot(I(I(PeriodDays)*I(HostStarTempK))))))","I(to23(I(troot(I(I(PeriodDays)*I(HostStarTempK))))))","1"
"I(to23(I(troot(I(PeriodDays)))))","I(to23(I(troot(I(PeriodDays)))))","5"
"I(to35(I(logi(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))))","I(to35(I(logi(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))))","1"
"I(to35(I(troot(I(PeriodDays)))))","I(to35(I(troot(I(PeriodDays)))))","1"
"I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","3"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","1"
"I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","2"
"I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(PeriodDays))))","1"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","2"
"I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass))))","I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass))))","2"
"I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","1"
"I(troot(I(I(PeriodDays)*I(PeriodDays))))","I(troot(I(I(PeriodDays)*I(PeriodDays))))","22"
"I(troot(I(I(to23(I(PeriodDays)))*I(HostStarRadiusSlrRad))))","I(troot(I(I(to23(I(PeriodDays)))*I(HostStarRadiusSlrRad))))","1"
"I(troot(I(I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))*I(PeriodDays))))","I(troot(I(I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))*I(PeriodDays))))","1"
"I(troot(I(PeriodDays)))","I(troot(I(PeriodDays)))","5"
"I(troot(I(to23(I(PeriodDays)))))","I(troot(I(to23(I(PeriodDays)))))","7"
