"","V1","V2"
"I(HostStarMassSlrMass)","I(HostStarMassSlrMass)","2"
"I(HostStarTempK)","I(HostStarTempK)","1"
"I(I(HostStarMassSlrMass)*I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(RadiusJpt))*I(PlanetaryDensJpt)))","I(I(HostStarMassSlrMass)*I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(RadiusJpt))*I(PlanetaryDensJpt)))","1"
"I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(RadiusJpt))","11"
"I(I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","9"
"I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt))*I(RadiusJpt))","5"
"I(I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt)))*I(RadiusJpt))","3"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(I(RadiusJpt)*I(RadiusJpt)))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(I(RadiusJpt)*I(RadiusJpt)))","1"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))","1"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(to23(I(RadiusJpt))))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(to23(I(RadiusJpt))))","1"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(to35(I(RadiusJpt))))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(to35(I(RadiusJpt))))","1"
"I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","14"
