"","V1","V2"
"I(absolute_magnitude)","I(absolute_magnitude)","100"
"I(argument_of_perihelion)","I(argument_of_perihelion)","100"
"I(atan(I(absolute_magnitude)))","I(atan(I(absolute_magnitude)))","7"
"I(atan(I(argument_of_perihelion)))","I(atan(I(argument_of_perihelion)))","1"
"I(atan(I(eccentricity)))","I(atan(I(eccentricity)))","3"
"I(atan(I(inclination)))","I(atan(I(inclination)))","5"
"I(atan(I(mean_motion)))","I(atan(I(mean_motion)))","4"
"I(atan(I(semi_major_axis)))","I(atan(I(semi_major_axis)))","6"
"I(cosi(I(absolute_magnitude)))","I(cosi(I(absolute_magnitude)))","7"
"I(cosi(I(argument_of_perihelion)))","I(cosi(I(argument_of_perihelion)))","1"
"I(cosi(I(eccentricity)))","I(cosi(I(eccentricity)))","9"
"I(cosi(I(mean_anomaly)))","I(cosi(I(mean_anomaly)))","1"
"I(cosi(I(mean_motion)))","I(cosi(I(mean_motion)))","6"
"I(cosi(I(rms_residual)))","I(cosi(I(rms_residual)))","1"
"I(cosi(I(semi_major_axis)))","I(cosi(I(semi_major_axis)))","1"
"I(eccentricity)","I(eccentricity)","100"
"I(I(absolute_magnitude)*I(absolute_magnitude))","I(I(absolute_magnitude)*I(absolute_magnitude))","4"
"I(I(absolute_magnitude)*I(argument_of_perihelion))","I(I(absolute_magnitude)*I(argument_of_perihelion))","2"
"I(I(absolute_magnitude)*I(eccentricity))","I(I(absolute_magnitude)*I(eccentricity))","6"
"I(I(absolute_magnitude)*I(inclination))","I(I(absolute_magnitude)*I(inclination))","2"
"I(I(absolute_magnitude)*I(longitude_of_the_ascending.node))","I(I(absolute_magnitude)*I(longitude_of_the_ascending.node))","3"
"I(I(absolute_magnitude)*I(mean_anomaly))","I(I(absolute_magnitude)*I(mean_anomaly))","2"
"I(I(absolute_magnitude)*I(mean_motion))","I(I(absolute_magnitude)*I(mean_motion))","3"
"I(I(absolute_magnitude)*I(rms_residual))","I(I(absolute_magnitude)*I(rms_residual))","1"
"I(I(absolute_magnitude)*I(semi_major_axis))","I(I(absolute_magnitude)*I(semi_major_axis))","1"
"I(I(argument_of_perihelion)*I(absolute_magnitude))","I(I(argument_of_perihelion)*I(absolute_magnitude))","6"
"I(I(argument_of_perihelion)*I(eccentricity))","I(I(argument_of_perihelion)*I(eccentricity))","1"
"I(I(argument_of_perihelion)*I(inclination))","I(I(argument_of_perihelion)*I(inclination))","1"
"I(I(argument_of_perihelion)*I(semi_major_axis))","I(I(argument_of_perihelion)*I(semi_major_axis))","1"
"I(I(eccentricity)*I(absolute_magnitude))","I(I(eccentricity)*I(absolute_magnitude))","3"
"I(I(eccentricity)*I(argument_of_perihelion))","I(I(eccentricity)*I(argument_of_perihelion))","1"
"I(I(eccentricity)*I(eccentricity))","I(I(eccentricity)*I(eccentricity))","6"
"I(I(eccentricity)*I(inclination))","I(I(eccentricity)*I(inclination))","1"
"I(I(eccentricity)*I(longitude_of_the_ascending.node))","I(I(eccentricity)*I(longitude_of_the_ascending.node))","4"
"I(I(eccentricity)*I(mean_motion))","I(I(eccentricity)*I(mean_motion))","2"
"I(I(eccentricity)*I(rms_residual))","I(I(eccentricity)*I(rms_residual))","3"
