"","min(prec)","median(prec)","max(prec)","min(fnr)","median(fnr)","max(fnr)","min(fpr)","median(fpr)","max(fpr)","min(ltime)","median(ltime)","max(ltime)","min(ptime)","median(ptime)","max(ptime)"
"GMJMCMC(AIC)",0.9439,0.9609,0.9813,0.0103,0.0239,0.0415,0.0412,0.0889,0.1826,131.124,154.3597,177.882,0.043,0.0689,0.103
"MJMCMC(AIC)",0.9335,0.9574,0.9792,0.0026,0.0253,0.0484,0.0538,0.0995,0.1565,101.048,128.8198,144.934,0.15,0.159,0.174
"tXGBOOST(AUC)",0.9792,0.9902,1,0,0.0056,0.015,0,0.0259,0.0625,0.504,1.1088,4.993,0.003,0.0139,0.045
"lXGBOOST(AUC)",0.9356,0.9565,0.9688,0.0076,0.0158,0.0391,0.102,0.1366,0.1826,0.896,1.2326,2.382,0,0.0064,0.031
"LASSO",0.9314,0.9437,0.9626,0.0224,0.0339,0.0576,0.0928,0.1263,0.1754,0.15,0.4165,1.286,0.003,0.0032,0.004
"RIDGE",0.9064,0.9366,0.9584,0.0102,0.0232,0.0665,0.1287,0.1862,0.2231,0.042,0.0555,0.144,0.003,0.0052,0.021
"RFOREST",0.9314,0.9484,0.9688,0.0078,0.025,0.0598,0.0222,0.1337,0.2143,1.301,1.3359,1.365,0.789,0.9434,1.05
"DEEPNETS",0.9189,0.9514,0.9667,0.0077,0.0354,0.0796,0.0538,0.0883,0.1226,5.387,5.6394,6.458,1.818,1.8964,2.031
"NAIVEBAYESS",0.8919,0.9343,0.9626,0,0.0312,0.0903,0.1287,0.1679,0.254,1.227,1.2572,1.29,0.718,0.8652,0.989
"LR",0.8524,0.8767,0.896,0.0331,0.0721,0.1129,0.0435,0.2195,0.3662,0.232,0.3551,1.287,0.738,0.8733,1.005
"KMEANS",0.4782,0.4956,0.5343,0.3052,0.3342,0.3548,0.2683,0.3346,0.3952,0.15,0.1606,0.178,0.788,0.9442,1.2
