"posterior","tree"
1,"I(((((((V10))&((((V4))&((V17))))))&((V30)))))"
0.999999999999995,"I(((V4))&((V7)))"
0.999999999999995,"I(((V2))&((V9)))"
0.999999999999995,"I(V8)"
0.999999999999995,"I(((((V3))&((V1))))&((V27)))"
0.999999999999995,"I(((((V12))&((V37))))&((V20)))"
0.999999999999995,"I(((V19))&((V50)))"
0.999999999999995,"I(((V18))&((V21)))"
0.999999999999995,"I(((V13))&((V11)))"
0.999999999999995,"I(((V50))&((((V19))&((((V13))&((V11)))))))"
0.999999995850125,"I(V4)"
0.858257317087432,"I(((((V18))&((V21))))&((V7)))"
