"posterior","tree"
0.999999999999994,"I(V8)"
0.999999999999994,"I(((V20))&((((V37))&((V12)))))"
0.999999999999994,"I(((V18))&((V21)))"
0.999999999999994,"I(((V2))&((V9)))"
0.999999999999994,"I(((V13))&((V11)))"
0.999999999999994,"I(((V3))&((((V27))&((V1)))))"
0.999999999999994,"I(V7)"
0.999999999999994,"I(((((V50))&((V19)))))"
0.999999999999994,"I(((((((V17))&((V30))))&((V4))))&((V10)))"
0.999999999999994,"I(((((((V50))&((V19))))))&((V13)))"
0.999999999999993,"I(((V13))&((((V11))&((V19)))))"
0.999995200014842,"I(((((V11))&((V44))))&((((((((V50))&((V19))))))&((V13)))))"
0.999931782888158,"I(V13)"
0.999841520107788,"I(V19)"
