"posterior","tree"
0.999999999999997,"I(((V9))&((V2)))"
0.999999999999997,"I(V8)"
0.999999999999997,"I(((V50))&((V19)))"
0.999999999999997,"I(((V12))|((((V37))&((V20)))))"
0.999999999999997,"I(V12)"
0.999999999999997,"I(((((V1))&((V27))))&((((V3))&((V27)))))"
0.999999999999997,"I(V7)"
0.999999999999997,"I(((V11))&((V13)))"
0.999999999999997,"I(((V18))&((V21)))"
0.999999999999997,"I(((V37))&((V20)))"
0.999999999999997,"I(((((((((V17))&((V4))))&((V30))))))&((V10)))"
0.999999999999997,"I(((((V11))&((V13))))&((((V50))&((V19)))))"
