"posterior","tree"
0.999999999999998,"I(V7)"
0.999999999999998,"I(((V19))&((V50)))"
0.999999999999998,"I(((V13))&((V11)))"
0.999999999999998,"I(((((((V50))&((V19))))&((V13))))&((V11)))"
0.999999999999998,"I(V8)"
0.999999999999998,"I(((V2))&((V9)))"
0.999999999999998,"I(((V18))&((V21)))"
0.999999999999998,"I(((V10))&((((V4))&((V17)))))"
0.999999999999998,"I(((V1))&((((V27))&((V3)))))"
0.999999999999998,"I(((((V20))&((V37))))&((V12)))"
0.999868360707794,"I(V30)"
0.999868283461368,"I(((V17))|((V30)))"
0.999857499655416,"I(V17)"
