"posterior","tree"
0.999999999999998,"I(V8)"
0.999999999999998,"I(((V9))&((V2)))"
0.999999999947873,"I(V7)"
0.999991849718013,"I(V13)"
0.99999184420788,"I(V11)"
0.999991834775248,"I(((((V12))&((((V20))&((V37)))))))"
0.999991834775248,"I(((((V27))&((((V3))&((V1)))))))"
0.999991834775248,"I(((V13))|((V11)))"
0.999991834775248,"I(((((V21))|((V17))))&((((V4))&((V10)))))"
0.999991834775248,"I(((V21))&((V18)))"
0.999991834775248,"I(((V50))&((V19)))"
0.999991834775248,"I(((((V13))&((((V50))&((((V11))&((V19)))))))))"
0.999991834773566,"I(((((V21))&((((V4))&((V10)))))))"
0.342253462693568,"I(((V18))&((V30)))"
