"V1","V2"
"1","I(V9)"
"1","I(((V9))&((V23)))"
"1","I(V2)"
"2","I(V4)"
"99","I(((V2))&((V9)))"
"1","I(((((V9))&((V23))))&((V2)))"
"1","I(((((((V4))&((V10))))&((V30))))|((V17)))"
"1","I(V17)"
"1","I(((((V4))&((V10))))|((((V17))&((V30)))))"
"1","I(((V4))&((V10)))"
"100","I(((V12))&((((V20))&((V7)))))"
"2","I(V30)"
"1","I(((V4))&((V30)))"
"2","I(((((V4))&((V10))))&((V30)))"
"1","I(((((V20))|((V17))))&((((((V4))&((((V30))&((V10)))))))))"
"1","I(((((V20))&((((((V4))&((((V30))&((V10)))))))))))"
"1","I(((V10))&((V17)))"
"3","I(((V17))&((V30)))"
"2","I(((V17))&((((V10))&((V4)))))"
"1","I(((((((V30))&((V17))))))&((V4)))"
"1","I(((((V17))&((V30))))&((((V10))&((V17)))))"
"90","I(((V17))&((((V4))&((((V10))&((V30)))))))"
"1","I(((((V10))&((V17))))&((V39)))"
"1","I(((((((V10))&((V17))))&((V39))))&((((V4))&((V30)))))"
"100","I(V37)"
"1","I(((V4))&((((((V10))&((V17))))&((V8)))))"
