"","V1","V2"
"I(expi(I(logi(I(troot(I(I(PeriodDays)*I(PeriodDays))))))))","I(expi(I(logi(I(troot(I(I(PeriodDays)*I(PeriodDays))))))))","1"
"I(expi(I(troot(I(I(PeriodDays)*I(PeriodDays))))))","I(expi(I(troot(I(I(PeriodDays)*I(PeriodDays))))))","1"
"I(I(HostStarMetallicity)*I(PeriodDays))","I(I(HostStarMetallicity)*I(PeriodDays))","11"
"I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","21"
"I(I(HostStarTempK)*I(troot(I(PeriodDays))))","I(I(HostStarTempK)*I(troot(I(PeriodDays))))","1"
"I(I(I(PeriodDays)*I(PeriodDays))*I(PeriodDays))","I(I(I(PeriodDays)*I(PeriodDays))*I(PeriodDays))","1"
"I(I(PeriodDays)*I(HostStarMetallicity))","I(I(PeriodDays)*I(HostStarMetallicity))","10"
"I(I(PeriodDays)*I(I(troot(I(to23(I(PeriodDays)))))*I(PeriodDays)))","I(I(PeriodDays)*I(I(troot(I(to23(I(PeriodDays)))))*I(PeriodDays)))","1"
"I(I(PeriodDays)*I(PlanetaryMassJpt))","I(I(PeriodDays)*I(PlanetaryMassJpt))","13"
"I(I(PeriodDays)*I(RadiusJpt))","I(I(PeriodDays)*I(RadiusJpt))","17"
"I(I(PlanetaryMassJpt)*I(PeriodDays))","I(I(PlanetaryMassJpt)*I(PeriodDays))","10"
"I(I(RadiusJpt)*I(PeriodDays))","I(I(RadiusJpt)*I(PeriodDays))","4"
"I(I(troot(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(troot(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","2"
"I(I(troot(I(HostStarRadiusSlrRad)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(troot(I(HostStarRadiusSlrRad)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","3"
"I(I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))*I(troot(I(PeriodDays))))","I(I(troot(I(I(HostStarRadiusSlrRad)*I(PeriodDays))))*I(troot(I(PeriodDays))))","1"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(HostStarTempK))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(HostStarTempK))","17"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarRadiusSlrRad))))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(sigmoid(I(HostStarRadiusSlrRad))))","1"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(troot(I(HostStarRadiusSlrRad))))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(troot(I(HostStarRadiusSlrRad))))","1"
"I(PeriodDays)","I(PeriodDays)","1"
"I(sini(I(to23(I(troot(I(I(PeriodDays)*I(PeriodDays))))))))","I(sini(I(to23(I(troot(I(I(PeriodDays)*I(PeriodDays))))))))","1"
"I(troot(I(I(HostStarMassSlrMass)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarMassSlrMass)*I(I(PeriodDays)*I(PeriodDays)))))","2"
"I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","4"
"I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","2"
"I(troot(I(I(I(HostStarRadiusSlrRad)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarRadiusSlrRad)*I(PeriodDays))*I(PeriodDays))))","2"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","5"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))))","2"
"I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","4"
"I(troot(I(I(I(PeriodDays)*I(HostStarRadiusSlrRad))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarRadiusSlrRad))*I(PeriodDays))))","6"
"I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(I(PeriodDays)*I(HostStarTempK)))))","I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(I(PeriodDays)*I(HostStarTempK)))))","2"
"I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(PeriodDays))))","5"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarMassSlrMass))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarMassSlrMass))))","7"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","7"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarTempK))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarTempK))))","2"
"I(troot(I(I(PeriodDays)*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","4"
"I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","4"
"I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","4"
"I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarMassSlrMass)))))","I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarMassSlrMass)))))","3"
