neo,desn,absolute_magnitude,magnitude_slope,epoch,mean_anomaly,argument_of_perihelion,longitude_of_the_ascending_node,inclination,eccentricity,mean_motion,semi_major_axis,ref1,ref2,observations,oppostions,time_of_perihelion_passage, rms_residual,Polarization,rotation_period,computer,classification,desn,label,last_observation
1,1566,16.9,0.15,K167V,39.42159,31.38168,88.01237,22.82683,0.8268744,0.88049882,1.078078,0,MPO350811,1017,33,1949-2015,1.08,M-v,3Eh,MPCW,9803,-1566,Icarus,20150731
1,1620,15.6,0.15,K167V,322.32014,276.86945,337.21625,13.33747,0.3353926,0.70916069,1.2453926,0,MPO374863,3608,31,1951-2016,1.78,M-v,3Eh,MPCW,9803,-1620,Geographos,20160402
1,1862,16.25,0.09,K167V,34.40309,285.98308,35.63767,6.35533,0.5599083,0.55297967,1.4700427,0,MPO374866,1309,26,1957-2016,0.51,M-h,3Eh,MPCLINUX,9803,-1862,Apollo,20160407
1,1981,15.2,0.15,K167V,89.90321,267.79493,356.90511,39.83302,0.6500564,0.41638082,1.7761334,1,MPO350815,529,21,1973-2015,0.45,M-h,3Eh,MPCLINUX,9803,-1981,Midas,20150224
1,2101,18.8,0.15,K167V,158.36834,43.27868,349.79505,1.32859,0.7641899,0.38400505,1.8746121,1,MPO256878,91,8,1936-2013,0.86,M-h,3Eh,MPCLINUX,8803,-2101,Adonis,20130313
1,2102,16,0.15,K167V,220.31828,61.5561,94.36762,64.00335,0.2991363,0.67265001,1.2900601,1,MPO305442,673,16,1975-2014,0.48,M-h,3Eh,MPCLINUX,9803,-2102,Tantalus,20140727
1,2135,17.94,0.15,K167V,180.88907,290.879,191.21874,23.06151,0.5029684,0.48719775,1.5995551,3,MPO298973,45,9,1977-2014,0.65,M-h,3Eh,MPCLINUX,D803,-2135,Aristaeus,20140627
1,2201,15.25,0.15,K167V,132.82105,98.24464,75.00192,2.52231,0.7130956,0.30728734,2.1749015,0,MPO344315,817,24,1931-2015,0.53,M-v,3Eh,MPCW,9803,-2201,Oljato,20150818
1,2340,20.2,0.15,K167V,198.80649,39.98051,211.43522,5.85666,0.4498986,1.27141788,0.8438732,2,MPO365273,321,7,1976-2014,0.62,M-h,3Eh,MPCLINUX,C802,-2340,Hathor,20141206
1,3122,14.1,0.15,K167V,183.86408,27.76524,336.11668,22.15571,0.4227693,0.41896468,1.7688233,1,MPO374883,1873,23,1979-2016,0.43,M-h,3Eh,MPCLINUX,9804,-3122,Florence,20160413
1,3200,14.6,0.15,K167V,346.37184,322.15391,265.25115,22.24582,0.8899022,0.68767052,1.2712055,0,MPO370999,3132,30,1983-2015,0.48,M-v,3Eh,MPCW,9803,-3200,Phaethon,20151217
1,3361,19.03,0.15,K167V,323.6263,301.77368,189.40041,2.68467,0.3227731,0.74073093,1.2097503,1,MPO298984,620,14,1982-2014,0.53,M-h,3Eh,MPCLINUX,8803,-3361,Orpheus,20140627
1,3362,18.3,0.15,K167V,236.0147,55.03904,152.45174,9.91714,0.4685608,1.00132449,0.9895084,3,MPO073856,251,18,1984-2004,0.68,M-v,3Eh,MPCW,C802,-3362,Khufu,20041127
1,3671,16.5,0.15,K167V,304.85569,204.22774,82.0976,13.53067,0.5411928,0.30219058,2.199288,0,MPO374890,483,13,1984-2016,0.59,M-h,3Eh,MPCLINUX,9804,-3671,Dionysus,20160329
1,3757,18.95,0.15,K167V,183.96147,17.16238,74.97311,3.86806,0.4455588,0.39663724,1.8345958,0,MPO302085,150,7,1982-2014,0.88,M-v,3Eh,MPCW,8804,-3757,Anagolay,20140730
1,4015,15.99,0.15,K167V,207.63042,93.99178,267.95759,2.77347,0.6292963,0.23039977,2.6352067,0,MPO374894,859,18,1949-2016,0.51,M-h,3Eh,MPCLINUX,9803,-4015,Wilson-Harrington,20160402
1,4034,18.4,0.15,K167V,69.74899,296.62536,157.9605,11.16895,0.4440169,0.90344222,1.0597476,1,MPO344332,465,16,1986-2015,0.51,M-h,3Eh,MPCLINUX,8803,-4034,Vishnu,20150706
1,4179,15.3,0.1,K167V,330.74565,278.71611,124.37223,0.44715,0.6293705,0.24422017,2.5348272,0,MPO344333,5320,25,1934-2015,0.57,M-v,3Eh,MPCW,9803,-4179,Toutatis,20150719
1,4183,14.4,0.15,K167V,197.06022,236.30713,294.91781,6.70543,0.6343914,0.3530984,1.9824651,0,MPO371010,1763,25,1986-2015,0.5,M-v,3Eh,MPCW,9803,-4183,Cuno,20151025
1,4450,17.1,0.15,K167V,285.11473,291.77693,311.84973,5.51995,0.5865981,0.56904684,1.4422395,0,MPO371013,859,20,1987-2015,0.5,M-h,3Eh,MPCLINUX,9803,-4450,Pan,20151213
1,4486,15.6,0.15,K167V,331.11028,168.86597,82.24522,3.03933,0.6628247,0.30208842,2.1997838,0,MPO371014,694,22,1987-2015,0.52,M-v,3Eh,MPCW,9803,-4486,Mithra,20151217
1,4581,20.7,0.15,K167V,232.48665,255.28613,180.2663,4.9193,0.3570129,0.95331218,1.0224591,0,MPO344337,176,7,1989-2015,0.5,M-v,3Eh,MPCW,8803,-4581,Asclepius,20150810
