"","x"
"1",2.08795821695946e-08
"2",2.32308935564602e-30
"3",0.661510058365568
"4",2.58965074773206e-08
"5",2.56847462469712e-33
"6",2.42551096430238e-05
"7",2.4981851371541e-17
"8",0.0604985509195639
"9",0.939463486666951
"10",0.649194500668585
"11",9.41774534963673e-07
"12",1.07757012203502e-06
"13",1.73257063774471e-24
"14",2.93675308019497e-13
"15",0.00904250408276315
"16",2.27292074124652e-06
"17",4.73819476437773e-17
"18",0.0226998520627719
"19",2.05106631755931e-06
"20",0.310736098787502
"21",2.74243330114899e-28
"22",2.03457022782299e-07
"23",1.86518185759046e-11
"24",0.00635404385332043
"25",9.32577496071179e-06
"26",1.42839700021794e-09
"27",0.00170476568406403
"28",5.74352128162713e-07
"29",7.08257936737726e-12
"30",8.10717570620167e-12
"31",2.23357598315235e-06
"32",3.09735658914301e-11
"33",1.09836174865123e-06
"34",2.30082495908415e-06
"35",2.89653851160712e-21
"36",8.24741232765596e-12
"37",1.84331889925447e-13
"38",2.63948777230578e-10
"39",0.0448135350531482
"40",1.9561354947234e-19
"41",3.30311576619356e-15
"42",5.70074731540192e-07
"43",8.8873639471196e-05
"44",8.92237661925176e-07
"45",0.00708805456826677
"46",1.92915568033654e-20
"47",0.313936638032551
"48",2.57513227055811e-14
"49",2.19620238811493e-07
"50",0.00117755178020802
"51",1.44738799692187e-16
"52",1.66412141020314e-11
"53",0.0526800870476556
"54",1.99311588724072e-07
"55",4.18608321382747e-15
"56",6.21355338566155e-07
"57",0.0234222511578734
"58",0.476261108522146
"59",4.61629000661909e-13
"60",5.179326988636e-06
"61",4.62018209523114e-09
"62",5.20089557579576e-21
"63",2.3873256074492e-06
"64",3.25364440955008e-11
"65",1.49308540846859e-07
"66",3.13591542154689e-05
"67",2.38455855307625e-07
"68",0.00113152586859051
"69",1.47530949685663e-11
"70",8.536072844756e-08
"71",2.0402718373046e-12
"72",0.00919348052419828
"73",3.07175901319937e-07
"74",0.376369725520331
"75",0.000286568471543414
"76",5.05867409404794e-09
"77",0.999937136378022
"78",2.1191169395531e-08
"79",2.72349763361804e-07
"80",0.0644877205105098
"81",5.23917985529019e-18
"82",0.973095477322934
"83",1.70170917361747e-31
"84",8.22673234020147e-06
"85",2.40519777224497e-09
"86",2.07788215585517e-08
"87",3.89081620742994e-12
"88",0.00657904213864773
"89",0.0251440635465481
"90",1.02273306732868e-05
"91",8.97145359479002e-09
"92",1.65797638882696e-14
"93",2.11920145069698e-22
"94",0.00112960740207228
"95",0.999937128774166
"96",1.8342971854221e-13
"97",5.75915192375383e-08
"98",1.55941170297204e-06
"99",1.26544908657331e-18
"100",2.88830003295428e-05
"101",0.158480722415659
"102",8.43429284711411e-06
"103",0.0439683214083574
"104",4.02971603125709e-35
"105",2.57974307943916e-11
"106",3.89973748157999e-11
"107",0.0593729283428688
"108",1.02395137767527e-08
"109",2.62338202572335e-11
"110",0.00113106174671867
"111",0.828822551977767
"112",1.06476896059798e-06
"113",5.94955747238239e-11
"114",0.166726799425871
"115",0.0609043909237167
"116",0.0303086404951162
"117",1.32682373981538e-05
"118",6.74941918941621e-31
"119",7.86610907716831e-06
"120",1.43976735168829e-15
"121",1.52296160685193e-15
"122",6.85859353097449e-32
"123",6.19586115636238e-08
"124",0.99911132966487
"125",0.130689016617547
"126",4.00320593771706e-13
"127",9.44761214631418e-05
"128",8.86611632391796e-10
"129",4.61196296588293e-30
"130",3.98055392282533e-08
"131",1.62115752848452e-11
"132",0.014501328851732
"133",0.00121218466549589
"134",4.84596579952095e-12
"135",7.58301190992167e-25
"136",5.67935818220809e-34
"137",1.11274543760717e-23
"138",8.53865274392034e-08
"139",0.999937136356011
"140",0.0559170899031248
"141",7.65519391367912e-08
"142",0.99992992530915
"143",1.09195007835067e-07
"144",1.51146047042476e-07
"145",0.000454221726788553
"146",0.999937136378022
"147",5.99752723994664e-30
"148",0.0559862958070656
"149",4.06962286794287e-07
"150",0.00143043783880595
"151",5.57653168492458e-23
"152",0.854209960612177
"153",1.65131536252404e-08
"154",5.71161381505761e-16
"155",1.33555009425431e-10
"156",1.21671967251611e-16
"157",0.999936450874899
"158",0.00899379088210973
"159",7.54969489811481e-07
"160",0.0401140356303864
"161",2.62508438184722e-10
"162",0.0643460910830825
"163",8.71932283247389e-41
"164",7.03802629892506e-16
"165",2.44941502898107e-13
"166",8.12049105055483e-09
"167",3.73276891329248e-15
"168",3.99148131027064e-21
"169",0.943407445250329
"170",0.939394396850367
"171",5.15572866814565e-15
"172",2.81889351265126e-24
"173",4.39122658735892e-11
"174",8.98445130223818e-09
"175",1.37865816236297e-21
"176",6.42616083306786e-26
"177",1.23475305827228e-34
"178",0.264549040920858
"179",6.52461667777036e-28
"180",0.980187842531996
"181",3.12431831324075e-35
"182",1.48168950286632e-07
"183",2.60577745913525e-11
"184",2.84110345958045e-08
"185",0.000799135163290109
"186",3.71061759091771e-16
"187",1.75717441262078e-09
"188",0.0247648705353898
"189",0.471546797831647
"190",6.53318954556934e-12
"191",0.0611269739596264
"192",3.31285726244225e-33
"193",5.35881380625542e-34
"194",8.36661963052191e-14
"195",3.00747361897803e-07
"196",2.67619469123195e-27
"197",1.41771877314116e-11
"198",1.09126741894301e-05
"199",0.00345320321112801
"200",0.00115956358507503
"201",1.5681569865946e-06
"202",2.26202151599089e-08
"203",1.963806032516e-08
"204",0.301735447646334
"205",1.53747436922578e-11
"206",0.377654534645925
"207",0.124510639344283
"208",2.66304555486049e-08
"209",1.04671417679238e-07
"210",0.948071888381338
"211",2.66510847228575e-06
"212",1.16071756452633e-17
"213",0.103160252459057
"214",2.27543506335343e-18
"215",2.29535047162644e-07
"216",2.2957039693036e-15
"217",1.69379092377234e-07
"218",0.0245178478078782
"219",0.0196757068337403
"220",4.60889159938692e-21
"221",1.09306209080653e-11
"222",2.85626440691502e-38
"223",3.77851472195339e-12
"224",4.62702476729891e-38
"225",1.28763618996145e-12
"226",1.56159935258508e-31
