"","x"
"I((((V1)&((V4)))))",1.12836756605609e-110
"I((((V1)&((V7)))&((V13)))|((V26)))",2.13296708641744e-98
"I((((V11)&((V1)))))",1.02685327536016e-108
"I((((V11)&((V8))))&((V34)))",9.67269131269092e-51
"I((((V11)&((V8)))&((V16)))&((V3)))",0.000508620959487586
"I((((V17)|((V11)))&((V8)))&((V14)))",9.38962918132924e-105
"I((((V4)&(((V1)&((V14)))))&((V9)))&((V34)))",4.35334266592839e-114
"I((((V4)&((V1)))))",2.76709783115907e-108
"I((((V5)&((V9)))&((V26)))&((V36)))",5.04754613532391e-45
"I((((V8)))&((V11)))",5.16743264285271e-81
"I((((V8)&((V1)))&((V11)))&((V5)))",4.7144437792827e-98
"I((((V8)&((V11)))&((V1)))|((V18)))",1.21134562012586e-48
"I(((V1)&((V4)))&(((V11)|((V8)))))",5.71847218001631e-07
"I(((V1)&((V4)))&((V17)))",7.48668454307641e-82
"I(((V1)&((V4)))&((V3)))",0.000459659316267742
"I(((V1)&((V4)))&((V33)))",4.68948131438191e-58
"I(((V1)&((V4)))&((V35)))",0.000694669875107182
"I(((V1)&((V4)))&((V36)))",0.00162355398739813
"I(((V1)&((V4)))&((V39)))",0.00460252351337408
"I(((V1)&((V4)))&((V43)))",3.7382443825227e-59
"I(((V1)&((V4)))&((V45)))",0.00183658318673414
"I(((V1)&((V4)))&((V46)))",3.71213560728864e-59
"I(((V1)&((V4)))&((V7)))",0.000908119481405205
"I(((V1)&((V4)))&((V9)))",3.29970463564622e-105
"I(((V1)&((V7)))&((V13)))",1.26218159905355e-97
"I(((V1)&((V8)))&((V11)))",1.10001994050484e-106
"I(((V1)&((V8)))&((V34)))",1.35331017698445e-93
"I(((V1)&((V8)))&((V4)))",5.00466112852179e-65
"I(((V1)&((V8)))&((V44)))",6.5440218549701e-98
"I(((V11)&((V8)))&(((V4)&((V1)))))",1.29269451560043e-68
"I(((V11)&((V8)))&((V16)))",0.000485728805263813
"I(((V11)&((V8)))&((V17)))",1.70738227043023e-99
"I(((V11)&((V8)))&((V35)))",0.000489995373960054
"I(((V11)&((V8)))&((V37)))",0.000716283475155777
"I(((V11)&((V8)))&((V42)))",0.00127021488389505
"I(((V11)&((V8)))&((V6)))",5.37643471805927e-98
"I(((V11)&((V8)))&((V7)))",5.03262733510877e-89
"I(((V11)|((V3)))&((((V1)&((V8)))&((V4)))))",2.55775028384944e-64
"I(((V14)&((V12)))&((V3)))",1.34183662537493e-58
"I(((V17)&((V29)))&((V8)))",5.12612927800411e-104
"I(((V17)&((V39)))|((V5)))",7.25060279360642e-99
"I(((V17)|((V11)))&((V8)))",9.38451178303346e-104
"I(((V17)|((V8)))&(((V1)&((V8)))))",3.15794758314338e-91
"I(((V39)&((V17)))&((V10)))",7.92687663606509e-97
"I(((V39)&((V17)))&((V11)))",4.02852209258852e-113
"I(((V39)&((V18)))&((V16)))",2.07648305494551e-98
"I(((V39)&((V32)))&((V17)))",5.37539657011916e-92
"I(((V39)&((V33)))|((V11)))",3.8370040489005e-105
"I(((V39)&((V5)))&((V7)))",7.15375572487274e-86
"I(((V39)&((V8)))&((V3)))",7.08243434651122e-101
"I(((V4)&(((V1)&(((V9)&((V25)))))))&((V39)))",1.18300052134004e-108
"I(((V4)&(((V11)&((V13)))))&((V10)))",6.54882889309903e-52
"I(((V4)&((V1)))&((V23)))",0.00104612605430109
"I(((V4)&((V1)))&((V36)))",1.39135410224631e-90
"I(((V4)&((V1)))&((V37)))",0.000586696383672362
"I(((V4)&((V1)))&((V5)))",8.27602416926141e-98
"I(((V4)&((V5)))&((V33)))",5.80913631415953e-49
"I(((V4)&((V9)))&((V10)))",3.79097667458229e-49
"I(((V42)&((V39)))&((V9)))",1.77427861127059e-114
"I(((V5)&((V13)))&((V4)))",1.35336751078738e-101
"I(((V5)&((V36)))&((V8)))",3.21070144011305e-71
"I(((V5)&((V9)))&((V28)))",0.0010712163500782
"I(((V5)&((V9)))&((V42)))",1.73024372631266e-46
