"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","I(V1)","0.999999999999998","I(V1)","0.999999999999999","I(V1)","1","I(V1)","0.0500289089369615","I(V1)","0.0873978471974849","I(V1)","0.999999999999998","I(V1)","1","I(V1)","1","I(V1)","0.0080450173090948","I(V1)","0.000108455139935109"
"2","I(V2)","3.99928988833282e-05","I(V2)","0.999999999999999","I(V2)","0.000395086015760502","I(V2)","0.0743969206603072","I(V2)","0.0371563469224965","I(V2)","0.999999999999998","I(V2)","1","I(V2)","0.00105621515818145","I(V2)","0.999999999999998","I(V2)","1"
"3","I(V3)","0.999999999999998","I(V3)","0.999999999999999","I(V3)","0.00036142683204388","I(V3)","1","I(V3)","0.999999999999998","I(V3)","0.000681930742805464","I(V3)","1","I(V3)","1","I(V3)","0.999999999999998","I(V3)","7.45320905224743e-05"
"4","I(V4)","0.999999999999998","I(V4)","0.999999999998639","I(V4)","0.99999991792361","I(V4)","0.999999967236646","I(V4)","0.999999999999998","I(V4)","0.999999999999989","I(V4)","1","I(V4)","1","I(V4)","0.999999956402703","I(V4)","1"
"5","I(V5)","0.999999999908981","I(V5)","0.000175172279215578","I(V5)","0.999999999999863","I(V5)","0.0625125335723266","I(V5)","0.999999999999998","I(V5)","0.000439600108201426","I(V5)","0.00331355288598552","I(V5)","0.000709011594442793","I(V5)","0.00143672181820789","I(V5)","9.60734136470307e-05"
"6","I(V7)","0.999999999998281","I(V7)","0.00106201245411083","I(V7)","0.999999999960135","I(V7)","0.999999999991501","I(V7)","0.999994188535683","I(V7)","0.999999999999998","I(V7)","0.999999999893139","I(V7)","0.999999999999999","I(V7)","0.999999999999444","I(V7)","1"
"7","I(V8)","4.00551225640929e-05","I(V8)","0.999999999999999","I(V8)","1","I(V8)","0.0649375215592354","I(V8)","0.0356017731202995","I(V8)","0.999999999999998","I(V8)","1","I(V8)","0.00067337584118288","I(V8)","0.000758865573895336","I(V8)","5.49008001291601e-05"
"8","I(V10)","5.92592469038765e-05","I(V10)","0.999999999999999","I(V10)","1","I(V10)","1","I(V10)","0.0399721717001768","I(V10)","0.00139718186107254","I(V10)","1","I(V10)","1","I(V10)","0.999999999999998","I(V10)","1"
"9","I(V11)","0.999999999999998","I(V11)","0.999999994979844","I(V11)","0.99674756142283","I(V11)","0.999999977337641","I(V11)","0.999999999999998","I(V11)","0.999999999999998","I(V11)","1","I(V11)","0.999987110544762","I(V11)","0.999999999999998","I(V11)","1"
"10","I(V12)","3.91285869218929e-05","I(V12)","0.000331176345724426","I(V12)","0.000223995361652513","I(V12)","0.587914462188723","I(V12)","0.0692580247638721","I(V12)","0.000350694105564565","I(V12)","0.00314999160176948","I(V12)","1","I(V12)","0.999999999999998","I(V12)","1"
"11","I(V13)","0.999335320918639","I(V13)","0.00025738788906883","I(V13)","0.999997444653458","I(V13)","0.964284300380215","I(V13)","0.999999998536123","I(V16)","0.00035411726337047","I(V13)","0.0185809626819916","I(V13)","0.999999543084162","I(V13)","0.000483428206340587","I(V13)","5.9833030983006e-05"
"12","I(V16)","0.999273951406178","I(V16)","0.000178089854198298","I(V16)","0.999936640391758","I(V16)","0.999044267293243","I(V16)","0.107726188411525","I(V20)","0.00139600984667001","I(V19)","0.999998642649328","I(V20)","0.999175195538342","I(V16)","0.00100835255802208","I(V19)","6.84128119189944e-05"
"13","I(V19)","0.999863340252377","I(V20)","0.000520682275983164","I(V19)","0.999993323885291","I(V20)","0.999296742891119","I(V19)","0.0369432322014037","I(V22)","0.000274152134956926","I(V20)","0.999999444492065","I(V22)","0.000706648519037149","I(V17)","0.0388680323887947","I(V20)","5.43072749966597e-05"
"14","I(V22)","9.77104289038716e-05","I(V22)","0.000272461018297283","I(V22)","1","I(V22)","0.0457809448728392","I(V20)","0.999999999999998","I(V24)","0.999999999999998","I(V22)","0.00309049531753001","I(V24)","0.999999999998654","I(V19)","0.00189430778886507","I(V22)","8.37708081361128e-05"
"15","I(V24)","0.999999999996479","I(V24)","0.999999999999999","I(V24)","1","I(V24)","0.999999998367292","I(V22)","0.103168657831268","I(V28)","0.999999999999001","I(V24)","0.999999999993886","I(V28)","0.00394036134725135","I(V20)","0.000410406565086148","I(V24)","1"
