"X","x"
"I(ATHATPASE)",0.00949165785823469
"I((ATHATPASE)&((ATHPHYC)))",3.57645784337667e-14
"I((ATHATPASE)&((CDC2BG)))",1.33826028368951e-14
"I((ATHATPASE)|((MSAT2.5)))",4.39831702193811e-17
"I((ATHATPASE)&((MSAT2.5)))",0.0342747649801239
"I((ATHATPASE)&((MTH12)))",1.52080773766674e-08
"I((ATHATPASE)&(((NGA249))))",1.01345910491378e-14
"I((ATHATPASE)&(((NGA249)&((F5I14)))))",9.94466145930164e-15
"I((ATHATPASE)&((((NGA249)|((((NT204)&((X44607340)))|((X44606631))))))))",9.35426000135175e-11
"I((ATHATPASE)&(((NGA249)|((X21607369)))))",6.29853199947098e-13
"I((ATHATPASE)|((NT204)))",7.78276457322598e-15
"I((ATHATPASE)&((NT204)))",5.0844433407113e-14
"I((ATHATPASE)|(((NT204)&((NGA249)))))",9.35201433323725e-07
"I((ATHATPASE)&(((NT204)&(((((((NGA249)|((X21607369)))|((X44606436))))))))))",1.78294696452144e-14
"I((ATHATPASE)|(((((NT204)))|(((NT204)|(((((NGA249))))))))))",7.22551013890813e-15
"I(((ATHATPASE)|(((NT204)&((X21607175))))))",1.58170467307626e-13
"I((ATHATPASE)|(((NT204)&((X21607513)))))",1.67947913795421e-11
"I((ATHATPASE)&(((NT204)&(((X44606419)|((X21607369)))))))",2.24571803973267e-12
"I((ATHATPASE)&(((NT204)&(((X44606460)|((X44607873)))))))",4.95355415270015e-08
"I((ATHATPASE)&(((NT204)|((((X44607676)&((NGA249))))))))",1.93407734640755e-12
"I((ATHATPASE)|(((NT204)&((X44607816)))))",1.82560414658506e-05
"I((ATHATPASE)&((X21606996)))",2.95935327933074e-11
"I((ATHATPASE)&((X21607175)))",2.63507583286123e-12
"I((ATHATPASE)|((X21607369)))",4.64702873026055e-14
"I((ATHATPASE)&((X21607369)))",2.10865147105881e-13
"I((ATHATPASE)&((((((X21607369)&(((X21607369)))))))))",7.00411394066756e-10
"I((ATHATPASE)&(((((X21607369)&((X44607676)))|((X44606102)))&((NGA1107)))))",1.53638608341678e-12
"I((ATHATPASE)&((X21607394)))",5.56023297271319e-17
"I(((ATHATPASE)&((X21607394)))|(((X44607676)&((X44606338)))))",3.22884209216355e-17
"I((ATHATPASE)&((X21607402)))",4.77366280212184e-14
"I(((ATHATPASE)|((X21607402)))&((MSAT5.22)))",4.58208626329735e-14
"I((ATHATPASE)|((X21607683)))",2.32454226463293e-06
"I((ATHATPASE)&((X21607683)))",3.24010020967731e-14
"I((ATHATPASE)&((X44606110)))",2.47458457814909e-14
"I((ATHATPASE)|((X44606118)))",2.56346838506249e-05
"I(((ATHATPASE)|((X44606118)))&((NGA249)))",2.96523898620559e-07
"I(((ATHATPASE)|((X44606118)))&((X44606330)))",4.93636524311842e-07
"I((ATHATPASE)|((X44606419)))",1.35410494691876e-13
"I((ATHATPASE)&((X44606419)))",1.54297212829518e-14
"I((ATHATPASE)|(((X44606419)&((X44606607)))))",4.23737529891516e-16
"I((ATHATPASE)&((X44606541)))",5.66283660549018e-12
"I((ATHATPASE)&((X44606778)))",6.17036748843455e-13
"I((ATHATPASE)&((X44607038)))",1.02965767194286e-12
"I((ATHATPASE)|((X44607283)))",1.82126534483179e-09
"I((ATHATPASE)&((X44607676)))",2.15190933477967e-15
"I(((ATHATPASE)&((X44607676)))|((NGA280)))",3.98931754077245e-16
"I((ATHATPASE)&(((X44607676)&((X44606419)))))",2.61641195159714e-16
"I((ATHATPASE)|(((X44607676)&((X44607038)))))",3.69898917149125e-15
"I((ATHATPASE)|((X44607808)))",2.20288365037892e-07
"I((ATHATPASE)|(((X44607808)&(((MSAT2.5)|((X44607470)))))))",5.74557128689638e-12
"I((ATHATPASE)&(((X44607808)&((X21607683)))))",6.76063748888822e-15
"I((ATHATPASE)&((X44607987)))",3.25567702279771e-09
"I((ATHATPASE)|((X44608003)))",7.93414355987905e-13
"I(MSAT2.5)",0.556610944896683
"I((MSAT2.5)&((CDC2BG)))",6.85312769806108e-15
"I((MSAT2.5)&((MSAT4.15)))",1.23305532108466e-07
"I((MSAT2.5)|((MSAT4.37)))",1.49006264738069e-14
"I((MSAT2.5)&((MSAT4.37)))",1.01539366646277e-15
"I((MSAT2.5)|((MSAT5.9)))",5.82167306473566e-15
"I((MSAT2.5)&((MSAT5.9)))",2.69404326697278e-14
"I((MSAT2.5)&((NGA1107)))",9.82054417183326e-14
"I((MSAT2.5)&((NGA249)))",2.57709457764161e-07
"I((MSAT2.5)&(((NGA249)|((X21607369)))))",1.81373925653546e-12
"I((MSAT2.5)&(((NT204)&((X21607700)))))",3.08026259127792e-15
"I((MSAT2.5)&(((NT204)&((X44606452)))))",3.63576409970674e-16
"I(((MSAT2.5)&(((NT204)&((X44606452)))))&(((X21607369)&((X44606338)))))",3.40321826287774e-16
"I(((((MSAT2.5)&(((NT204)&((X44606452)))))&((X44606338)))))",8.19222906748023e-16
"I((MSAT2.5)|((X21606963)))",9.28664499623192e-08
"I((MSAT2.5)|((X21607175)))",8.62931027170644e-15
"I(((MSAT2.5)|((X21607175)))|((X44607857)))",7.37955264981851e-15
"I((MSAT2.5)|((X21607250)))",1.11499916669264e-11
"I((MSAT2.5)&((X21607250)))",2.8662992762543e-15
"I(((MSAT2.5)&((X21607250)))&((X44607676)))",3.64521575059045e-15
"I((MSAT2.5)&(((((X21607369)&((JV75.76)))|((X44607808)))&((X44607873)))))",1.37494702611631e-14
"I((MSAT2.5)&((((X21607369)&((X44607283)))&((MSAT4.37)))))",7.92370326548262e-11
"I((MSAT2.5)|(((X21607369)|((((X44607676)&((X44606778))))))))",5.5931333662375e-15
"I((MSAT2.5)|(((X21607369)|((((X44607676)&((X44607643)))&((X44606778)))))))",4.75275206620677e-13
"I((MSAT2.5)|((X44606110)))",5.26825397396733e-16
"I((MSAT2.5)|((X44606118)))",3.45314305121363e-11
"I((MSAT2.5)|((X44606419)))",7.37154480834962e-12
"I((MSAT2.5)&((X44606419)))",2.49047973237245e-13
"I(((MSAT2.5)&((X44606419)))&((ATHATPASE)))",1.03892742011754e-15
"I(((MSAT2.5)&((X44606419)))|((JV75.76)))",8.02077173565289e-16
"I((MSAT2.5)&(((X44606419)|((MSAT5.9)))))",3.42753088144032e-15
"I(((MSAT2.5)&(((X44606419)|((MSAT5.9)))))&((X21607733)))",1.34765877706899e-16
"I((MSAT2.5)&(((X44606419)&((NT204)))))",1.38000451371637e-07
"I((MSAT2.5)&(((X44606419)|(((X21607369)&((X44607873)))))))",1.43182141607078e-11
"I((MSAT2.5)|((((((((X44606419)|((X44607087)))|((CDC2BG)))&((ATHATPASE))))))))",0.0332964952368808
"I((MSAT2.5)&(((X44606419)&((X44607808)))))",7.80551834622269e-12
"I((((MSAT2.5)&((X44606452)))))",2.62789761931153e-16
"I((MSAT2.5)|((X44606452)))",1.02363455040641e-11
"I((MSAT2.5)|((X44606460)))",2.39713314193982e-13
"I((MSAT2.5)&((X44606826)))",4.61497495601923e-13
"I((MSAT2.5)|((X44607038)))",2.10089762433062e-09
"I((MSAT2.5)&((X44607087)))",7.00109850957243e-17
"I((MSAT2.5)&((X44607193)))",6.61860414697879e-18
"I(((MSAT2.5)&((X44607193)))&((X21607402)))",8.80347085073281e-18
"I((((MSAT2.5)&((X44607193)))&((X21607402)))|(((X44606419)&((X21607369)))))",2.13015311658768e-17
"I((MSAT2.5)&((X44607348)))",4.16177612905262e-10
"I((MSAT2.5)|((X44607470)))",6.17298374781171e-13
"I((MSAT2.5)&((X44607470)))",6.79572504105487e-10
"I((MSAT2.5)&((X44607545)))",6.16428642810997e-13
"I((MSAT2.5)|((X44607676)))",5.44811652624793e-12
"I((MSAT2.5)&((X44607676)))",2.35543543229955e-12
"I((MSAT2.5)|((((X44607676)|(((NGA249)&((X44606110)))))&((X44606419)))))",2.56862284802562e-11
"I((MSAT2.5)&(((X44607676)&((X21607369)))))",1.87925570578354e-14
"I((MSAT2.5)&((X44607767)))",5.74241526532097e-15
"I((MSAT2.5)&((X44607808)))",0.00990398062251498
"I(((MSAT2.5)&((X44607808)))&(((ATHATPASE)&((X21607369)))))",1.51864107951438e-13
"I((MSAT2.5)&((X44607873)))",7.75555952006627e-16
"I((MSAT2.5)|((X44608003)))",3.74194027018602e-13
"I(NGA249)",0.0964560331077986
"I(((NGA249)|((ATHATPASE))))",2.97564773998733e-07
"I((NGA249)&((ATHATPASE)))",5.22037251068803e-12
"I((NGA249)|((((ATHATPASE)&((X44607676)))|((NGA280)))))",3.42239801772914e-16
"I((NGA249)&(((ATHATPASE)|((X44608003)))))",1.11008830255764e-12
"I(((NGA249)&(((ATHATPASE)|((X44608003)))))|(((((X44607676)|((X44607087)))))))",8.78941479687641e-13
"I((NGA249)&((F5I14)))",7.25521795967502e-16
"I((((NGA249)&((MSAT2.5)))&((X21607184)))&((X44607767)))",3.48308198183853e-13
"I((NGA249)&((NGA172)))",6.38470568918094e-09
"I((NGA249)&((NGA280)))",6.67063114966371e-11
"I((NGA249)&((((((NGA280)))&((MSAT2.5)))|((X21607369)))))",3.5512117439801e-15
"I((NGA249)|((NT204)))",2.56902476769993e-07
"I((NGA249)&((NT204)))",2.15072198334905e-09
"I((NGA249)|(((NT204)&((X21607402)))))",4.23552247237475e-15
"I(((NGA249)|((NT204)))|((X44606118)))",8.52686138351813e-15
"I((((NGA249)|((((NT204)|((X44606631))))))&((NGA280))))",1.40094228429586e-10
"I((((NGA249)|((((NT204)|((X44606631))))))&((X44607995))))",1.57669377126784e-10
"I(((((NGA249)|(((NT204)|((X44607087))))))))",4.61738149847219e-14
"I(((NGA249)|((NT204)))|((X44607193)))",1.39763426513386e-09
"I((((NGA249)|((NT204)))|((X44607193)))&((X44606436)))",1.34178220358897e-09
"I(((NGA249)|((((NT204)&((X44607340)))|((X44606631))))))",1.39215484606165e-08
"I((((NGA249)|((((NT204)&((X44607340)))|((X44606631))))))&((NGA280)))",9.74222257910884e-11
"I((((NGA249)|((((NT204)&((X44607340)))|((X44606631))))))&((X44607995)))",1.57697166981318e-10
"I(((NGA249)|((NT204)))&((X44607808)))",2.41553822435656e-13
"I((NGA249)|((X21607369)))",3.69196687070228e-10
"I(((NGA249)|((X21607369)))&((NT204)))",1.4926011913385e-14
"I(((NGA249)|((X21607369)))|(((X21607369)&((JV75.76)))))",2.51396637868021e-12
"I((((NGA249)|((X21607369)))|(((X21607369)&((JV75.76)))))&((NGA280)))",1.26760896127889e-14
"I((NGA249)&(((X21607369)&((X44606395)))))",3.89688246761979e-11
"I(((NGA249)|((X21607369)))|(((X44606419)|(((X21607369)&((X44607873)))))))",9.52531671836888e-12
"I((NGA249)|((((X21607369)&((X44606436)))|((X44606460)))))",8.88693092559589e-12
"I(((NGA249)|((X21607369)))&((X44607816)))",6.60863580936679e-12
