ewg,w,rp,v,sd,run,gl,pgk,cg,gpdh,ninaC,glt,prd,mhc,ddc,duc,eve,sli,plu,egfr,twi,zip,lsp,ve,acr,dbi,h,cyc,fz,eip,tra,rdg,ht,ant,ninaE,fas,mst,odh,tub,hb,rox,ald,mlc,jan,efi,class
1,1,0,0,0,0,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,5.00E-01,-5.00E-01,1
0,0,0,0,1,1,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,1
1,1,1,0,0,0,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-4.53E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,1
1,0,0,0,0,0,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,1
1,1,1,1,1,1,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,1
1,1,1,1,1,1,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-4.96E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-4.93E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,1.59E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,1
0,0,0,0,0,0,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,1
0,1,1,0,0,0,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,-5.00E-01,-4.96E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,1
0,0,0,0,0,0,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,1
0,0,0,0,0,0,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-4.97E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,1
0,0,0,0,0,0,-5.00E-01,-5.00E-01,-5.00E-01,-6.84E-02,5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,-5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,1
