"","V1","V2"
"I(Eccentricity)","I(Eccentricity)","1"
"I(HostStarMassSlrMass)","I(HostStarMassSlrMass)","3"
"I(HostStarMetallicity)","I(HostStarMetallicity)","1"
"I(HostStarRadiusSlrRad)","I(HostStarRadiusSlrRad)","1"
"I(HostStarTempK)","I(HostStarTempK)","1"
"I(I(HostStarMetallicity)*I(HostStarRadiusSlrRad))","I(I(HostStarMetallicity)*I(HostStarRadiusSlrRad))","1"
"I(I(HostStarTempK)*I(PeriodDays))","I(I(HostStarTempK)*I(PeriodDays))","1"
"I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PlanetaryDensJpt))","I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PlanetaryDensJpt))","1"
"I(I(I(I(logi(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(logi(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","1"
"I(I(I(I(PlanetaryDensJpt)*I(HostStarTempK))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(PlanetaryDensJpt)*I(HostStarTempK))*I(RadiusJpt))*I(RadiusJpt))","1"
"I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(RadiusJpt))","7"
"I(I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","10"
"I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt))*I(RadiusJpt))","3"
"I(I(I(I(sini(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(sini(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","1"
"I(I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt)))*I(RadiusJpt))","3"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(I(RadiusJpt)*I(RadiusJpt)))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(I(RadiusJpt)*I(RadiusJpt)))","1"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))","1"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(to23(I(RadiusJpt))))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(to23(I(RadiusJpt))))","1"
"I(I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))*I(RadiusJpt))","I(I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))*I(RadiusJpt))","1"
